"","player","ou","position","Salary","TeamAbbrev","value"
"97","Rondale Moore",44.5,"WR",4200,"ARI",10.5952380952381
"98","Tyler Lockett",67.5,"WR",5600,"SEA",12.0535714285714
"99","Will Dissly",20.5,"TE",3100,"SEA",6.61290322580645
"100","Zach Ertz",48.5,"TE",4900,"ARI",9.89795918367347
"101","Clyde Edwards-Helaire",19.5,"RB",6300,"KC",3.0952380952381
"102","Dawson Knox",31.5,"TE",3400,"BUF",9.26470588235294
"103","Devin Singletary",21.5,"RB",5900,"BUF",3.64406779661017
"104","Gabriel Davis",53.5,"WR",6500,"BUF",8.23076923076923
"105","Isaiah McKenzie",35.5,"WR",5000,"BUF",7.1
"106","Jerick McKinnon",12.5,"RB",4700,"KC",2.65957446808511
"107","JuJu Smith-Schuster",49.5,"WR",5200,"KC",9.51923076923077
"108","Justin Watson",1.5,"WR",3000,"KC",0.5
"109","Marquez Valdes-Scantling",45.5,"WR",4500,"KC",10.1111111111111
"110","Mecole Hardman",26.5,"WR",4000,"KC",6.625
"111","Noah Gray",10.5,"TE",2900,"KC",3.62068965517241
"112","Skyy Moore",19.5,"WR",3500,"KC",5.57142857142857
"113","Stefon Diggs",87.5,"WR",8400,"BUF",10.4166666666667
"114","Travis Kelce",79.5,"TE",7800,"KC",10.1923076923077
