"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"122","Aaron Anderson",3000,"BAMA","TENN",9,36.25,28.75,0.0439521504298058,1.44296393353435,3.79815292358398,1.26605097452799
"123","Quincey McAdoo",3000,"ARK","BYU",10,34,32.5,0.0526309415683008,1.44796123729929,2.84001541137695,0.946671803792318
"124","Dominic DiNunzio",3000,"TCU","OKST",10,36,32.5,0.0425149743750601,1.36414967751496,3.53818941116333,1.17939647038778
"125","Tyrell Henry",3000,"MSU","WISC",9,21,28.5,0.0355375528622409,1.24207261098481,2.01003837585449,0.670012791951497
"126","Philip Cole",3000,"OHIO","WMU",10,30.5,29,0.0372515054326243,1.09348836745339,3.05076670646667,1.01692223548889
"127","Aaron Steinfeldt",3300,"IU","UMD",10,25,36.5,0.0335193124752562,1.82885951072036,3.07854557037354,0.93289259708289
"128","Tyler Hunt",3300,"MSU","WISC",10,21,28.5,0.0372936086687443,1.30344849775657,2.72417020797729,0.825506123629483
"129","Tyler Foster",3200,"OHIO","WMU",11,30.5,29,0.0358560056520239,1.05252457930179,3.76489853858948,1.17653079330921
"130","Kendrick Law",3000,"BAMA","TENN",10,36.25,28.75,0.0413360664559398,1.35707701368011,3.84827709197998,1.28275903065999
"131","Jordan Hudson",3700,"TCU","OKST",11,36,32.5,0.0425149743750601,1.36414967751496,3.53818941116333,0.956267408422522
"132","Alec Burton",3300,"OHIO","WMU",12,30.5,29,0.0385608821217324,1.13192408062863,3.05076670646667,0.924474759535356
"133","Thaiu Jones-Bell",3000,"BAMA","TENN",11,36.25,28.75,0.0343627791176472,1.12814163670925,3.84827709197998,1.28275903065999
"134","Powers Warren",3000,"MSU","WISC",11,21,28.5,0.0416316006107303,1.45506560540324,2.14754033088684,0.71584677696228
"135","Anthony Smith",3500,"NCST","SYR",9,19.75,23.25,0.0461538545738036,1.40019307371542,2.01740312576294,0.576400893075126
"136","Chase Curtis",3000,"TCU","OKST",12,36,32.5,0.0402211530660628,1.29054936033398,3.53818941116333,1.17939647038778
"137","Gunnar Henderson",3300,"TCU","OKST",13,36,32.5,0.0376668900747852,1.20859242428832,3.53818941116333,1.07217860944343
"138","Jasiah Provillon",3000,"NCST","SYR",10,19.75,23.25,0.0447234672986881,1.35679868393277,2.01740312576294,0.672467708587646
"139","Carter Ware",3000,"TCU","OKST",14,36,32.5,0.0376668900747852,1.20859242428832,3.53818941116333,1.17939647038778
