"","player","ou","position","Salary","TeamAbbrev","value"
"39","Zack Moss",6.5,"RB",5000,"BUF",1.3
"40","Cole Kmet",23.5,"TE",3200,"CHI",7.34375
"41","Daniel Bellinger",18.5,"TE",2800,"NYG",6.60714285714286
"42","Darnell Mooney",35.5,"WR",5000,"CHI",7.1
"43","David Sills V",25.5,"WR",3000,"NYG",8.5
"44","Equanimeous St. Brown",24.5,"WR",4200,"CHI",5.83333333333333
"45","Kenny Golladay",17.5,"WR",3900,"NYG",4.48717948717949
"46","Khalil Herbert",11.5,"RB",5700,"CHI",2.01754385964912
"47","Richie James",44.5,"WR",4000,"NYG",11.125
"48","Saquon Barkley",27.5,"RB",8000,"NYG",3.4375
"49","Alec Pierce",26.5,"WR",3900,"IND",6.79487179487179
"50","Ashton Dulin",11.5,"WR",3500,"IND",3.28571428571429
"51","Austin Hooper",15.5,"TE",3100,"TEN",5
"52","Dontrell Hilliard",10.5,"RB",4900,"TEN",2.14285714285714
"53","Geoff Swaim",13.5,"TE",3000,"TEN",4.5
"54","Jonathan Taylor",13.5,"RB",8800,"IND",1.53409090909091
"55","Kyle Philips",20.5,"WR",3900,"TEN",5.25641025641026
"56","Kylen Granson",13.5,"TE",2500,"IND",5.4
"57","Michael Pittman Jr.",70.5,"WR",7200,"IND",9.79166666666667
"58","Mo Alie-Cox",15.5,"TE",2700,"IND",5.74074074074074
"59","Nick Westbrook-Ikhine",25.5,"WR",4100,"TEN",6.21951219512195
"60","Nyheim Hines",23.5,"RB",4700,"IND",5
"61","Parris Campbell",20.5,"WR",3400,"IND",6.02941176470588
"62","Robert Woods",47.5,"WR",5200,"TEN",9.13461538461539
"63","Treylon Burks",41.5,"WR",4700,"TEN",8.82978723404255
"64","Antonio Gibson",12.5,"RB",6000,"WAS",2.08333333333333
"65","CeeDee Lamb",65.5,"WR",6700,"DAL",9.77611940298507
"66","Curtis Samuel",46.5,"WR",5700,"WAS",8.1578947368421
"67","Dalton Schultz",31.5,"TE",3900,"DAL",8.07692307692308
"68","Ezekiel Elliott",9.5,"RB",6100,"DAL",1.55737704918033
"69","J.D. McKissic",23.5,"RB",5100,"WAS",4.6078431372549
"70","Jahan Dotson",31.5,"WR",4300,"WAS",7.32558139534884
"71","Logan Thomas",25.5,"TE",3300,"WAS",7.72727272727273
"72","Michael Gallup",26.5,"WR",5100,"DAL",5.19607843137255
"73","Terry McLaurin",55.5,"WR",6500,"WAS",8.53846153846154
"74","Tony Pollard",14.5,"RB",6000,"DAL",2.41666666666667
"75","Austin Ekeler",40.5,"RB",7700,"LAC",5.25974025974026
"76","Brandin Cooks",66.5,"WR",5800,"HOU",11.4655172413793
"77","Chris Moore",28.5,"WR",3500,"HOU",8.14285714285714
"78","Dameon Pierce",10.5,"RB",5600,"HOU",1.875
"79","DeAndre Carter",34.5,"WR",4000,"LAC",8.625
"80","Gerald Everett",42.5,"TE",4000,"LAC",10.625
"81","Jordan Akins",28.5,"TE",2500,"HOU",11.4
"82","Josh Palmer",50.5,"WR",5000,"LAC",10.1
"83","Mike Williams",57.5,"WR",7000,"LAC",8.21428571428571
"84","Nico Collins",42.5,"WR",4000,"HOU",10.625
"85","O.J. Howard Receiving Yards",20.5,"TE",2700,"HOU",7.59259259259259
"86","Phillip Dorsett",8.5,NA,NA,NA,NA
"87","Rex Burkhead",19.5,"RB",4900,"HOU",3.97959183673469
"88","Colby Parkinson",6.5,"TE",2500,"SEA",2.6
"89","Craig Reynolds",15.5,"RB",4700,"DET",3.29787234042553
"90","DK Metcalf",59.5,"WR",6800,"SEA",8.75
"91","Jamaal Williams",15.5,"RB",6100,"DET",2.54098360655738
"92","Josh Reynolds",54.5,"WR",4600,"DET",11.8478260869565
"93","Kalif Raymond",35.5,"WR",3100,"DET",11.4516129032258
"94","Kenneth Walker III",8.5,"RB",4800,"SEA",1.77083333333333
"95","Marquise Goodwin",13.5,"WR",3600,"SEA",3.75
"96","Noah Fant",26.5,"TE",3100,"SEA",8.54838709677419
"97","Quintez Cephus",24.5,"WR",3000,"DET",8.16666666666667
"98","Rashaad Penny",7.5,"RB",4900,"SEA",1.53061224489796
"99","T.J. Hockenson",49.5,"TE",4100,"DET",12.0731707317073
"100","Tyler Lockett",65.5,"WR",5900,"SEA",11.1016949152542
"101","Will Dissly",15.5,"TE",3200,"SEA",4.84375
"102","Breece Hall",17.5,"RB",5400,"NYJ",3.24074074074074
"103","Chase Claypool",38.5,"WR",4700,"PIT",8.19148936170213
"104","Corey Davis",31.5,"WR",4500,"NYJ",7
"105","Diontae Johnson",65.5,"WR",6000,"PIT",10.9166666666667
"106","Elijah Moore",42.5,"WR",4800,"NYJ",8.85416666666667
"107","Garrett Wilson",45.5,"WR",5400,"NYJ",8.42592592592593
"108","George Pickens",31.5,"WR",3800,"PIT",8.28947368421053
"109","Michael Carter",12.5,"RB",5200,"NYJ",2.40384615384615
"110","Najee Harris",19.5,"RB",6700,"PIT",2.91044776119403
"111","Pat Freiermuth",35.5,"TE",4200,"PIT",8.45238095238095
"112","Tyler Conklin",27.5,"TE",3600,"NYJ",7.63888888888889
"113","Amari Cooper",58.5,"WR",6300,"CLE",9.28571428571429
"114","Anthony Firkser",0.5,"TE",2500,"ATL",0.2
"115","Anthony Schwartz",0.5,"WR",3200,"CLE",0.15625
"116","Cordarrelle Patterson",10.5,"RB",6500,"ATL",1.61538461538462
"117","David Bell",7.5,"WR",3100,"CLE",2.41935483870968
"118","David Njoku",32.5,"TE",3700,"CLE",8.78378378378378
"119","Demetric Felton",0.5,"RB",4000,"CLE",0.125
"120","Donovan Peoples-Jones",27.5,"WR",4000,"CLE",6.875
"121","Drake London",57.5,"WR",6100,"ATL",9.42622950819672
"122","Harrison Bryant",13.5,"TE",2900,"CLE",4.6551724137931
"123","Kareem Hunt",16.5,"RB",6000,"CLE",2.75
"124","KhaDarel Hodge",12.5,"WR",3300,"ATL",3.78787878787879
"125","Kyle Pitts",55.5,"TE",5000,"ATL",11.1
"126","Nick Chubb",7.5,"RB",7900,"CLE",0.949367088607595
"127","Olamide Zaccheaus",25.5,"WR",4100,"ATL",6.21951219512195
"128","Parker Hesse",4.5,"TE",2500,"ATL",1.8
"129","Andy Isabella",10.5,"WR",3300,"ARI",3.18181818181818
"130","Christian McCaffrey",27.5,"RB",8700,"CAR",3.16091954022989
"131","DJ Moore",50.5,"WR",5300,"CAR",9.52830188679245
"132","Eno Benjamin",7.5,"RB",4400,"ARI",1.70454545454545
"133","Greg Dortch",29.5,"WR",5000,"ARI",5.9
"134","Ian Thomas",15.5,"TE",2700,"CAR",5.74074074074074
"135","James Conner",21.5,"RB",6300,"ARI",3.41269841269841
"136","Marquise Brown",57.5,"WR",6900,"ARI",8.33333333333333
"137","Robby Anderson",38.5,"WR",4700,"CAR",8.19148936170213
"138","Rondale Moore",32.5,"WR",3800,"ARI",8.55263157894737
"139","Tommy Tremble",3.5,"TE",2500,"CAR",1.4
"140","Zach Ertz",39.5,"TE",4700,"ARI",8.40425531914894
"141","Aaron Jones",23.5,"RB",7500,"GB",3.13333333333333
"142","AJ Dillon",13.5,"RB",6000,"GB",2.25
"143","Allen Lazard",37.5,"WR",6200,"GB",6.04838709677419
"144","Christian Watson",18.5,"WR",3700,"GB",5
"145","Damien Harris",9.5,"RB",5300,"NE",1.79245283018868
"146","DeVante Parker",38.5,"WR",4600,"NE",8.3695652173913
"147","Hunter Henry",21.5,"TE",2900,"NE",7.41379310344828
"148","Jonnu Smith",14.5,"TE",2900,"NE",5
"149","Kendrick Bourne",18.5,"WR",3700,"NE",5
"150","Lil'Jordan Humphrey",14.5,"WR",3000,"NE",4.83333333333333
"151","Nelson Agholor",31.5,"WR",3900,"NE",8.07692307692308
"152","Randall Cobb",20.5,"WR",4000,"GB",5.125
"153","Rhamondre Stevenson",16.5,"RB",5200,"NE",3.17307692307692
"154","Robert Tonyan",24.5,"TE",3500,"GB",7
"155","Romeo Doubs",43.5,"WR",4500,"GB",9.66666666666667
"156","Albert Okwuegbunam",19.5,"TE",3300,"DEN",5.90909090909091
"157","Brandon Bolden",13.5,"RB",4500,"LV",3
"158","Courtland Sutton",69.5,"WR",6400,"DEN",10.859375
"159","Darren Waller",52.5,"TE",5600,"LV",9.375
"160","Davante Adams",85.5,"WR",8300,"LV",10.3012048192771
"161","Javonte Williams",22.5,"RB",6600,"DEN",3.40909090909091
"162","Jerry Jeudy",45.5,"WR",5500,"DEN",8.27272727272727
"163","Josh Jacobs",16.5,"RB",5500,"LV",3
"164","Keelan Cole Sr.",20.5,NA,NA,NA,NA
"165","Kendall Hinton",7.5,"WR",3000,"DEN",2.5
"166","KJ Hamler",15.5,"WR",3900,"DEN",3.97435897435897
"167","Mack Hollins",51.5,"WR",4200,"LV",12.2619047619048
"168","Melvin Gordon III",9.5,"RB",5800,"DEN",1.63793103448276
"169","Cameron Brate",21.5,NA,NA,NA,NA
"170","Chris Godwin",41.5,NA,NA,NA,NA
"171","Clyde Edwards-Helaire",17.5,NA,NA,NA,NA
"172","Jerick McKinnon",14.5,NA,NA,NA,NA
"173","JuJu Smith-Schuster",51.5,NA,NA,NA,NA
"174","Julio Jones",30.5,NA,NA,NA,NA
"175","Justin Watson",5.5,NA,NA,NA,NA
"176","Leonard Fournette",25.5,NA,NA,NA,NA
"177","Marquez Valdes-Scantling",38.5,NA,NA,NA,NA
"178","Mecole Hardman",25.5,NA,NA,NA,NA
"179","Mike Evans",69.5,NA,NA,NA,NA
"180","Noah Gray",7.5,NA,NA,NA,NA
"181","Russell Gage",38.5,NA,NA,NA,NA
"182","Travis Kelce",68.5,NA,NA,NA,NA
"183","Allen Robinson II",38.5,NA,NA,NA,NA
"184","Brandon Aiyuk",52.5,NA,NA,NA,NA
"185","Cam Akers",7.5,NA,NA,NA,NA
"186","Cooper Kupp",93.5,NA,NA,NA,NA
"187","Deebo Samuel",56.5,NA,NA,NA,NA
"188","George Kittle",43.5,NA,NA,NA,NA
"189","Jauan Jennings",16.5,NA,NA,NA,NA
"190","Jeff Wilson Jr.",10.5,NA,NA,NA,NA
"191","Kyle Juszczyk",7.5,NA,NA,NA,NA
"192","Tyler Higbee",41.5,NA,NA,NA,NA
