"","time","Away","Home","Park","temp","precip","blowing_right","blowing_out","date"
"166","07:05 PM EST","  Braves  ","  Pirates  ","PNC Park",80,2,1.5556349186104,1.55563491861041,2022-08-23
"167","07:05 PM EST","  White Sox  ","  Orioles  ","Oriole Park at Camden Yards",85,1,6.5,1.19403062916867e-15,2022-08-23
"168","07:10 PM EST","  Angels  ","  Rays  ","Tropicana Field",88,0,0,0,2022-08-23
"169","07:10 PM EST","  Giants  ","  Tigers  ","Comerica Park",80,0,-3.46482322781408,3.46482322781408,2022-08-23
"170","07:10 PM EST","  Blue Jays  ","  Red Sox  ","Fenway Park",71,31,2.02822219153498,-4.89656152230982,2022-08-23
"171","08:05 PM EST","  Cardinals  ","  Cubs  ","Wrigley Field",77,0,-4.1,-2.51052593825207e-16,2022-08-23
"172","08:10 PM EST","  Diamondbacks  ","  Royals  ","Kauffman Stadium",82,0,-2.37263728066356,-5.72805310156998,2022-08-23
"173","08:10 PM EST","  Twins  ","  Astros  ","Minute Maid Park",88,0,0,0,2022-08-23
"174","08:40 PM EST","  Rangers  ","  Rockies  ","Coors Field",86,1,1.87514881858894,-4.52700970930531,2022-08-23
"175","09:40 PM EST","  Guardians  ","  Padres  ","Petco Park",72,0,5.35850128856546,2.21956390771752,2022-08-23
"176","09:40 PM EST","  Marlins  ","  Athletics  ","Oakland Coliseum",71,0,-7.10295143505465e-16,5.8,2022-08-23
"177","10:10 PM EST","  Nationals  ","  Mariners  ","T-Mobile Park",76,0,0,0,2022-08-23
"178","10:10 PM EST","  Brewers  ","  Dodgers  ","Dodger Stadium",77,1,2.54558441227157,2.54558441227157,2022-08-23
"179","12:35 PM EST","  Braves  ","  Pirates  ","PNC Park",81,0,1.48492424049175,1.48492424049175,2022-08-24
"180","01:10 PM EST","  Giants  ","  Tigers  ","Comerica Park",83,0,-2.75771644662754,2.75771644662754,2022-08-24
"181","03:10 PM EST","  Rangers  ","  Rockies  ","Coors Field",84,0,-1.45419704298734,-3.51074222354289,2022-08-24
"182","03:37 PM EST","  Marlins  ","  Athletics  ","Oakland Coliseum",66,0,3.88908729652601,3.88908729652601,2022-08-24
"183","04:10 PM EST","  Nationals  ","  Mariners  ","T-Mobile Park",79,0,0,0,2022-08-24
"184","04:10 PM EST","  Guardians  ","  Padres  ","Petco Park",75,0,2.83185739950166,6.83670854058352,2022-08-24
"185","07:05 PM EST","  Reds  ","  Phillies  ","Citizens Bank Park",85,0,5.5,1.01033360929657e-15,2022-08-24
"186","07:05 PM EST","  White Sox  ","  Orioles  ","Oriole Park at Camden Yards",87,0,4.7,8.63375993398884e-16,2022-08-24
"187","07:10 PM EST","  Angels  ","  Rays  ","Tropicana Field",79,0,0,0,2022-08-24
"188","07:10 PM EST","  Blue Jays  ","  Red Sox  ","Fenway Park",79,4,4.71178561580756,-1.95168550506196,2022-08-24
"189","08:05 PM EST","  Cardinals  ","  Cubs  ","Wrigley Field",78,0,-5.9,-3.61270805748469e-16,2022-08-24
"190","08:10 PM EST","  Diamondbacks  ","  Royals  ","Kauffman Stadium",86,0,-5.26611333531433,-2.18129556448101,2022-08-24
"191","08:10 PM EST","  Twins  ","  Astros  ","Minute Maid Park",84,0,0,0,2022-08-24
"192","09:00 PM EST","  Brewers  ","  Dodgers  ","Dodger Stadium",83,0,-3.04055915910215,3.04055915910215,2022-08-24
"193","01:10 PM EST","  Angels  ","  Rays  ","Tropicana Field",89,0,0,0,2022-08-25
"194","02:20 PM EST","  Cardinals  ","  Cubs  ","Wrigley Field",77,3,-9.79717439317883e-16,8,2022-08-25
"195","04:10 PM EST","  Guardians  ","  Mariners  ","T-Mobile Park",84,0,0,0,2022-08-25
