"","player","ou","position","Salary","Team","value"
"48","Justin Jefferson",87.5,"WR",9200,"MIN",9.51086956521739
"49","K.J. Osborn",28.5,"WR",5300,"MIN",5.37735849056604
"50","Mike Gesicki",19.5,"TE",4800,"MIA",4.0625
"51","Raheem Mostert",7.5,"RB",6500,"MIA",1.15384615384615
"52","Trent Sherfield",15.5,"WR",4900,"MIA",3.16326530612245
"53","Tyreek Hill",63.5,"WR",8000,"MIA",7.9375
"54","Adam Trautman",21.5,"TE",4700,"NO",4.57446808510638
"55","Alvin Kamara",32.5,"RB",8100,"NO",4.01234567901235
"56","Hayden Hurst",36.5,"TE",4900,"CIN",7.44897959183673
"57","Ja'Marr Chase",78.5,"WR",8100,"CIN",9.69135802469136
"58","Joe Mixon",21.5,"RB",7800,"CIN",2.75641025641026
"59","Juwan Johnson",21.5,"TE",4600,"NO",4.67391304347826
"60","Marquez Callaway",41.5,"WR",5600,"NO",7.41071428571429
"61","Samaje Perine",7.5,"RB",5600,"CIN",1.33928571428571
"62","Tre'Quan Smith",44.5,"WR",5300,"NO",8.39622641509434
"63","Tyler Boyd",43.5,"WR",6000,"CIN",7.25
"64","Amari Cooper",53.5,"WR",7100,"CLE",7.53521126760563
"65","David Bell",7.5,"WR",4900,"CLE",1.53061224489796
"66","David Njoku",35.5,"TE",5900,"CLE",6.01694915254237
"67","Donovan Peoples-Jones",32.5,"WR",5500,"CLE",5.90909090909091
"68","Harrison Bryant",13.5,"TE",4500,"CLE",3
"69","Jakobi Meyers",55.5,"WR",6600,"NE",8.40909090909091
"70","Kareem Hunt",15.5,"RB",6000,"CLE",2.58333333333333
"71","Nick Chubb",7.5,"RB",9500,"CLE",0.789473684210526
"72","Rhamondre Stevenson",18.5,"RB",7500,"NE",2.46666666666667
"73","Alec Pierce",45.5,"WR",5900,"IND",7.71186440677966
"74","Christian Kirk",60.5,"WR",7000,"JAC",8.64285714285714
"75","Deon Jackson",13.5,"RB",5600,"IND",2.41071428571429
"76","Evan Engram",27.5,"TE",5200,"JAC",5.28846153846154
"77","James Robinson",9.5,"RB",6700,"JAC",1.41791044776119
"78","Kylen Granson",17.5,"TE",4400,"IND",3.97727272727273
"79","Michael Pittman Jr.",69.5,"WR",6700,"IND",10.3731343283582
"80","Mo Alie-Cox",19.5,"TE",4800,"IND",4.0625
"81","Parris Campbell",21.5,"WR",5100,"IND",4.2156862745098
"82","Travis Etienne",18.5,"RB",6400,"JAC",2.890625
"83","Zay Jones",43.5,"WR",5600,"JAC",7.76785714285714
"84","Allen Robinson II",33.5,"WR",5400,"LAR",6.2037037037037
"85","Ben Skowronek",37.5,"WR",5500,"LAR",6.81818181818182
"86","Christian McCaffrey",39.5,"RB",8700,"CAR",4.54022988505747
"87","Cooper Kupp",90.5,"WR",9400,"LAR",9.62765957446809
"88","DJ Moore",53.5,"WR",5700,"CAR",9.3859649122807
"89","Ian Thomas",8.5,"TE",4500,"CAR",1.88888888888889
"90","Tyler Higbee",55.5,"TE",6200,"LAR",8.95161290322581
"91","A.J. Green (ARI)",24.5,"WR",5300,"ARI",4.62264150943396
"92","DK Metcalf",69.5,"WR",7400,"SEA",9.39189189189189
"93","Eno Benjamin",26.5,"RB",6300,"ARI",4.20634920634921
"94","Kenneth Walker III",12.5,"RB",6500,"SEA",1.92307692307692
"95","Marquise Brown",70.5,"WR",8200,"ARI",8.59756097560976
"96","Noah Fant",25.5,"TE",4900,"SEA",5.20408163265306
"97","Rondale Moore",44.5,"WR",5600,"ARI",7.94642857142857
"98","Tyler Lockett",67.5,"WR",7500,"SEA",9
"99","Will Dissly",20.5,"TE",5000,"SEA",4.1
"100","Zach Ertz",48.5,"TE",6000,"ARI",8.08333333333333
"101","Clyde Edwards-Helaire",19.5,"RB",7000,"KC",2.78571428571429
"102","Dawson Knox",31.5,"TE",5100,"BUF",6.17647058823529
"103","Devin Singletary",21.5,"RB",5700,"BUF",3.7719298245614
"104","Gabriel Davis",53.5,"WR",6900,"BUF",7.7536231884058
"105","Isaiah McKenzie",35.5,"WR",6000,"BUF",5.91666666666667
"106","Jerick McKinnon",12.5,"RB",5500,"KC",2.27272727272727
"107","JuJu Smith-Schuster",49.5,"WR",6400,"KC",7.734375
"108","Justin Watson",1.5,"WR",4800,"KC",0.3125
"109","Marquez Valdes-Scantling",45.5,"WR",5800,"KC",7.8448275862069
"110","Mecole Hardman",26.5,"WR",5600,"KC",4.73214285714286
"111","Noah Gray",10.5,"TE",4100,"KC",2.5609756097561
"112","Skyy Moore",19.5,"WR",5000,"KC",3.9
"113","Stefon Diggs",87.5,"WR",8900,"BUF",9.8314606741573
"114","Travis Kelce",79.5,"TE",8300,"KC",9.57831325301205
