"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"63","Duke","Boston College",28.5,19,26.5627040863037,39.6242446899414
"64","UMass","Connecticut",12.25,27.75,20.6075973510742,39.1991310119629
"65","Oregon State","Washington",25.5,29,28.1737403869629,40.9905471801758
"66","Air Force","Army",23.5,16.5,8.64162254333496,54.9188575744629
"67","Texas Tech","TCU",30,39.5,41.5936889648438,37.3361053466797
"68","Florida","Texas A&M",25.5,28.5,25.8005123138428,37.8996734619141
"69","Kentucky","Missouri",21.75,19.75,26.4958763122559,35.0168647766113
"70","Maryland","Wisconsin",22.75,27.75,33.8517723083496,33.2034187316895
"71","Western Kentucky","Charlotte",44,28,35.0474395751953,36.1638984680176
"72","Tulane","Tulsa",32.5,25,29.8800373077393,36.5353775024414
"73","North Carolina","Virginia",33.5,26,33.9277763366699,36.861873626709
"74","Ohio State","Northwestern",48.25,9.75,31.8028030395508,39.5835380554199
"75","Iowa","Purdue",18.25,22.75,29.8255043029785,32.2055549621582
"76","Minnesota","Nebraska",31.25,15.25,23.9324226379395,38.4903869628906
"77","Georgia Tech","Virginia Tech",18.75,21.75,30.5690288543701,34.3957672119141
"78","Marshall","Old Dominion",24.75,21.75,29.9348983764648,41.0612487792969
"79","South Florida","Temple",27.25,23.75,27.9141044616699,40.8382225036621
"80","Georgia State","Southern Mississippi",22.75,25.25,25.4347915649414,42.0458030700684
"81","Baylor","Oklahoma",28,31.5,31.0739727020264,42.126163482666
"82","Middle Tennessee","Louisiana Tech",32.75,30.25,42.4180335998535,32.879508972168
"83","Oklahoma State","Kansas",33.75,31.75,37.6847915649414,36.6336631774902
"84","UT San Antonio","UAB",26.5,25.5,34.1264495849609,34.1174545288086
"85","Tennessee","Georgia",29,37,33.4241600036621,36.8570251464844
"86","UCF","Memphis",30.75,27.25,31.8154048919678,37.9688491821289
"87","New Mexico","Utah State",14.5,29,24.6103458404541,37.6042366027832
"88","Oregon","Colorado",46.5,15,30.1180438995361,38.4334411621094
"89","Penn State","Indiana",32.25,18.25,32.4739608764648,41.7221450805664
"90","Michigan State","Illinois",12.75,28.75,30.7309837341309,28.5216083526611
"91","Syracuse","Pittsburgh",22.25,25.75,32.0021095275879,33.7037658691406
"92","Washington State","Stanford",27.25,22.25,36.0751800537109,30.9828453063965
"93","West Virginia","Iowa State",21.5,28.5,35.6342658996582,36.9009056091309
"94","Florida International","North Texas",20.5,41.5,36.708812713623,35.0244941711426
"95","Liberty","Arkansas",25,38.5,30.1653156280518,40.8028221130371
"96","Navy","Cincinnati",13.5,33,7.78611278533936,55.9119873046875
"97","South Alabama","Georgia Southern",32.25,28.25,35.7224769592285,38.5275802612305
"98","Troy","Louisiana",23.75,19.25,26.0656585693359,38.6819953918457
"99","Texas State","Louisiana Monroe",25.5,26.5,29.2631721496582,32.4935760498047
"100","BYU","Boise State",24,31.5,31.1925525665283,28.6060276031494
"101","Alabama","LSU",35.5,22,31.4933547973633,34.8482780456543
"102","Houston","SMU",31.75,35.25,37.689208984375,36.8290405273438
"103","UNLV","San Diego State",21.5,27.5,27.7171516418457,29.785774230957
"104","Texas","Kansas State",28.5,26,30.8715190887451,35.2254791259766
"105","Arizona","Utah",24.75,42.25,36.9449653625488,31.259859085083
"106","Michigan","Rutgers",35.5,9.5,26.541202545166,40.9468574523926
"107","Florida State","Miami",30.25,22.75,33.0481262207031,36.0325927734375
"108","South Carolina","Vanderbilt",27.75,20.75,28.0096416473389,34.5693168640137
"109","Auburn","Mississippi State",19.25,32.25,29.904447555542,35.8742713928223
"110","Clemson","Notre Dame",24,20.5,27.6312599182129,36.3177680969238
"111","James Madison","Louisville",22.5,30,35.5109519958496,34.7085762023926
"112","Wake Forest","NC State",29.25,24.75,33.5827560424805,37.7221984863281
"113","UCLA","Arizona State",38.5,28,32.0379066467285,38.1977577209473
"114","Hawai'i","Fresno State",17.5,44.5,32.1872863769531,30.2393550872803
"115","California","USC",19.5,40.5,39.0774078369141,28.6926803588867
"116","Colorado State","San Jose State",10.25,34.25,27.6712131500244,35.043872833252
