"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"93","San Jose State","New Mexico State",32.5,10.5,29.3835697174072,32.5844078063965
"94","Fresno State","New Mexico",26,15,24.5679416656494,33.1329612731934
"95","Mississippi State","Alabama",20,41,46.031852722168,21.9960880279541
"96","Boise State","Air Force",22,25.5,25.0523242950439,35.5450820922852
"97","UCF","East Carolina",35.25,30.25,28.6478843688965,40.4168128967285
"98","Texas A&M","South Carolina",23.75,20.75,28.3331241607666,35.3531684875488
"99","Minnesota","Penn State",19.75,24.75,24.8623104095459,38.3556594848633
"100","Pittsburgh","Louisville",26.25,28.75,26.3643188476562,38.7914543151855
"101","Colorado","Oregon State",13.25,36.75,30.3206272125244,30.1921005249023
"102","Kansas State","TCU",25.75,29.25,27.3424758911133,38.3442611694336
"103","Utah State","Wyoming",18.75,23.25,29.5794067382812,36.9592399597168
"104","San Diego State","Nevada",21.75,14.75,22.0981826782227,38.6925621032715
