Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Anthony Williams (23968617),Anthony Williams,23968617,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,1.9
RB,Trilion Coles (23968623),Trilion Coles,23968623,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,6.58
RB,Demarkcus Bowman (23968626),Demarkcus Bowman,23968626,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,2.02
RB,Grant Goodman (23968629),Grant Goodman,23968629,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
RB,Chris Bowerfind (23968665),Chris Bowerfind,23968665,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
RB,Jordan McDonald (23968668),Jordan McDonald,23968668,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
RB,Maurice Turner (23968671),Maurice Turner,23968671,RB/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Jordan Davis (23968755),Jordan Davis,23968755,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Marshon Ford (23968761),Marshon Ford,23968761,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,9.15
WR,Zach Marsh Wojan (23968767),Zach Marsh Wojan,23968767,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Isaac Martin (23968770),Isaac Martin,23968770,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,1.4
WR,Grant Stevens (23968776),Grant Stevens,23968776,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Duane Martin (23968779),Duane Martin,23968779,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,1.8
WR,Max Holler (23968788),Max Holler,23968788,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Thomas Wadsworth (23968809),Thomas Wadsworth,23968809,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Garrett French (23968812),Garrett French,23968812,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Max Paplin (23968815),Max Paplin,23968815,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Victor Mullen (23968818),Victor Mullen,23968818,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,William Paar (23968821),William Paar,23968821,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Josh Lifson (23968824),Josh Lifson,23968824,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,3.8
WR,Gage Reale (23968827),Gage Reale,23968827,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Christian Pedersen (23968830),Christian Pedersen,23968830,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
