"","year","team","week","tpp","L3_tpp"
"3960",2019,"Bowling Green",10,26.7710843373494,26.7434949805018
"3961",2019,"Utah State",10,18.1219512195122,21.480436214258
"3962",2019,"Florida State",10,27.4782608695652,23.2566884796176
"3963",2019,"TCU",10,24.1219512195122,27.7010729334414
"3964",2019,"New Mexico",10,21.9692307692308,24.209060748655
"3965",2019,"San José State",10,22.16,23.7445646529737
"3966",2019,"Old Dominion",10,26.7704918032787,27.9760123197853
"3967",2019,"Indiana",10,30.5657894736842,28.9799964168573
"3968",2019,"Tulsa",10,24.6338028169014,22.1514475313155
"3969",2019,"Oklahoma State",10,28.9464285714286,24.4117396443973
"3970",2019,"West Virginia",10,21.7384615384615,26.4215895884605
"3971",2019,"Charlotte",10,30.7236842105263,28.4554340520442
"3972",2019,"Memphis",10,27.4861111111111,25.8860482473035
"3973",2019,"Georgia",10,32.0597014925373,31.4117190124773
"3974",2019,"Central Michigan",10,27.2133333333333,26.328612012987
"3975",2019,"SMU",10,20.3670886075949,21.8526668604077
"3976",2019,"Virginia Tech",10,26.953125,26.4030630770827
"3977",2019,"Troy",10,20.9253731343284,23.3395690217262
"3978",2019,"Western Kentucky",10,27.7945205479452,28.2318817257543
"3979",2019,"Texas State",10,30.4827586206897,25.5254039327174
"3980",2019,"Cincinnati",10,24.6825396825397,28.4339578046475
"3981",2019,"Baylor",10,26.6585365853659,25.6479266347687
"3982",2019,"Northwestern",10,21.6440677966102,24.7514448404193
"3983",2019,"UAB",10,28.4545454545455,29.2105142097731
"3984",2019,"Appalachian State",10,19.775,27.4143881482387
"3985",2019,"Fresno State",10,24.3235294117647,28.159431092249
"3986",2019,"Nevada",10,27.695652173913,26.4731347930336
"3987",2019,"Northern Illinois",10,27.8392857142857,26.8234873551775
"3988",2019,"Wake Forest",10,24.625,21.1989960764017
"3989",2019,"Georgia Tech",10,29.66,25.427438230009
"3990",2019,"Oregon State",10,26.1029411764706,24.5048802681992
"3991",2019,"Notre Dame",10,20.5934065934066,25.1939361889653
"3992",2019,"UTEP",10,30.71875,30.1563521148502
"3993",2019,"UNLV",10,23.8732394366197,27.3886439839739
"3994",2019,"Boise State",10,29.3448275862069,25.6144047674203
"3995",2019,"Connecticut",10,27.4027777777778,30.0851613965744
"3996",2019,"Houston",10,31.5822784810127,27.5777743358678
"3997",2019,"Rutgers",10,33.5901639344262,29.0372669653131
"3998",2019,"Colorado",10,23.5846153846154,26.9814392314392
"3999",2019,"Army",10,31.9807692307692,28.2085265079928
"4000",2019,"BYU",10,28.1866666666667,24.5306233546779
"4001",2019,"Colorado State",10,29.3076923076923,25.8738091667916
"4002",2019,"Syracuse",10,23.1923076923077,21.3494252458068
"4003",2019,"Arkansas State",10,25.8648648648649,24.9405918648138
"4004",2019,"Marshall",10,30.5846153846154,27.2122065082929
"4005",2019,"NC State",10,20.1830985915493,24.1707915763814
"4006",2019,"North Carolina",10,23.2647058823529,24.3405315932301
"4007",2019,"Virginia",10,28.0277777777778,28.0853283739543
"4008",2019,"Purdue",10,25.7532467532468,24.9519855144855
"4009",2019,"Pittsburgh",10,30.2428571428571,25.0439906853588
"4010",2019,"Coastal Carolina",10,26.1666666666667,26.9403862494166
"4011",2019,"UCF",10,18.728813559322,20.2699718327432
"4012",2019,"Louisiana",10,26.1714285714286,25.1769088213491
"4013",2019,"Florida International",10,26.9452054794521,26.4815264094547
"4014",2019,"North Texas",10,22.0810810810811,22.9537198912199
"4015",2019,"Maryland",10,28.1764705882353,22.8627349060039
"4016",2019,"Hawai'i",10,23.7317073170732,26.0551348591849
"4017",2019,"Ole Miss",10,21.1029411764706,21.9727862057298
"4018",2019,"Georgia Southern",10,33.4833333333333,29.7698776572851
"4019",2019,"UMass",10,27.5625,22.2946382783883
"4020",2019,"Mississippi State",10,31.6973684210526,28.7583679932517
"4021",2019,"Akron",10,24.1754385964912,26.1949556622364
"4022",2019,"Washington",10,20.6216216216216,27.4841977203264
"4023",2019,"UCLA",10,27.9324324324324,24.9695044999614
"4024",2019,"Florida",10,27.9230769230769,28.0185515873016
"4025",2019,"Illinois",10,25.6666666666667,25.0445165945166
"4026",2019,"Vanderbilt",10,31.46,28.1744025191982
"4027",2019,"Michigan",10,26.7301587301587,27.2238922996432
"4028",2019,"Texas A&M",10,31.5147058823529,28.8707606356326
"4029",2019,"Buffalo",10,29.3647058823529,27.1891697071045
"4030",2019,"Eastern Michigan",10,25.1428571428571,24.2434240294127
"4031",2019,"Clemson",10,23.796875,26.2417976490722
"4032",2019,"Auburn",10,23.8666666666667,24.8116323863829
"4033",2019,"UT San Antonio",10,23.8852459016393,25.3095821911023
"4034",2019,"Air Force",10,30.7460317460317,30.9057763727962
"4035",2019,"Nebraska",10,21.8513513513514,24.1267115970027
"4036",2019,"Middle Tennessee",10,26.9148936170213,25.0030636363146
"4037",2019,"Oregon",10,27.4126984126984,23.5309227719994
"4038",2019,"Old Dominion",11,27.5645161290323,27.9016861180626
"4039",2019,"Charlotte",11,27.1571428571429,29.9748166431373
"4040",2019,"Southern Mississippi",11,29.9821428571429,29.0682386203416
"4041",2019,"USC",11,25.9452054794521,24.1929231337768
"4042",2019,"Nevada",11,30.2,26.949286642482
"4043",2019,"Iowa State",11,28.3913043478261,28.1969072360382
"4044",2019,"Georgia Tech",11,27.5185185185185,27.0531525157233
"4045",2019,"Miami (OH)",11,30.4893617021277,24.7304511142196
"4046",2019,"Florida International",11,24.955223880597,26.2689641429541
"4047",2019,"Stanford",11,30.9814814814815,30.1093820461173
"4048",2019,"Western Kentucky",11,28.0632911392405,27.5933906506194
"4049",2019,"Oklahoma",11,24.1940298507463,26.288512321811
"4050",2019,"Texas State",11,26.865671641791,28.0994269212231
"4051",2019,"Louisville",11,30.96875,28.3040587268295
"4052",2019,"Kent State",11,24.3064516129032,22.7777024695503
"4053",2019,"Wyoming",11,29.0746268656716,29.6292490266547
"4054",2019,"Virginia Tech",11,30.5492957746479,26.5302332159716
"4055",2019,"Florida Atlantic",11,23.2289156626506,23.4532619693204
"4056",2019,"Georgia State",11,19.320987654321,24.2879904225179
"4057",2019,"Duke",11,26.6885245901639,22.4032093026323
"4058",2019,"Georgia",11,31.7462686567164,30.651220656798
"4059",2019,"Missouri",11,25.3965517241379,25.9294594294594
"4060",2019,"Florida State",11,22.719298245614,23.70611480812
"4061",2019,"TCU",11,22.8,26.9844016474104
"4062",2019,"Ohio State",11,23.4148936170213,27.0278710853711
"4063",2019,"Kansas State",11,32.4716981132075,30.370702040876
"4064",2019,"Troy",11,20.2297297297297,23.7805897246631
"4065",2019,"Clemson",11,27.8571428571429,25.2606885302198
"4066",2019,"Western Michigan",11,25.4342105263158,25.5243649097816
"4067",2019,"Vanderbilt",11,32.8196721311475,28.0995877043833
"4068",2019,"Washington State",11,29.9027777777778,24.0397548248035
"4069",2019,"Maryland",11,28.5510204081633,23.6407235208046
"4070",2019,"East Carolina",11,24.2207792207792,23.0100834178133
"4071",2019,"Fresno State",11,33.8928571428571,26.4106033002627
"4072",2019,"South Alabama",11,26.4705882352941,26.7153138127008
"4073",2019,"SMU",11,20.9036144578313,20.7496338175012
"4074",2019,"Wake Forest",11,22.0153846153846,21.6540265642066
"4075",2019,"Washington",11,27.0123456790123,25.5453408306499
"4076",2019,"San José State",11,24.2394366197183,22.6133317762614
"4077",2019,"Arizona State",11,26.2461538461538,26.1809748022016
"4078",2019,"LSU",11,25.873417721519,25.6608901515152
"4079",2019,"Michigan State",11,25.9655172413793,23.9206942236354
"4080",2019,"Notre Dame",11,23.6164383561644,23.9390620308653
"4081",2019,"Connecticut",11,30.8888888888889,29.3563103864734
"4082",2019,"Utah State",11,23.3150684931507,20.7833959292484
"4083",2019,"Illinois",11,19.3623188405797,25.9460317460317
"4084",2019,"Colorado",11,27.1408450704225,26.3868523368523
"4085",2019,"Louisiana Tech",11,25.2043010752688,25.415690064483
"4086",2019,"San Diego State",11,26.2027027027027,30.9494070961718
"4087",2019,"Arkansas",11,25.6111111111111,25.4191518712748
"4088",2019,"Tennessee",11,23.468085106383,31.6576566466044
"4089",2019,"Army",11,29.4404761904762,29.8323952862733
"4090",2019,"Louisiana Monroe",11,25.7594936708861,24.5223929205035
"4091",2019,"Iowa",11,26.5882352941176,28.3641682233292
"4092",2019,"Temple",11,25.9516129032258,24.3893344231601
"4093",2019,"Minnesota",11,35.0166666666667,31.0572189608443
"4094",2019,"South Carolina",11,21.2941176470588,22.5056433648958
"4095",2019,"UTEP",11,29.8070175438597,30.3501905582464
"4096",2019,"Penn State",11,20.5342465753425,26.1938775958341
"4097",2019,"Ole Miss",11,25.9625,22.0695442271201
"4098",2019,"Baylor",11,24,26.5625607811102
"4099",2019,"Cincinnati",11,23.2957746478873,27.3708264915161
"4100",2019,"California",11,24.1166666666667,27.1820131421091
"4101",2019,"Purdue",11,22.5833333333333,24.3277972027972
"4102",2019,"Miami",11,29.4181818181818,27.7348754156374
"4103",2019,"BYU",11,23.8571428571429,26.0338117604751
"4104",2019,"Toledo",11,27.1818181818182,25.1024016121385
"4105",2019,"Georgia Southern",11,32.3538461538462,30.6554168729713
"4106",2019,"New Mexico State",11,25.8135593220339,23.1004083413882
"4107",2019,"Tulsa",11,25.4810126582278,22.5171350776461
"4108",2019,"Liberty",11,23.0526315789474,23.9339629201399
"4109",2019,"Appalachian State",11,31.4035087719298,25.7604818982387
"4110",2019,"Virginia",11,29.3611111111111,28.1061617072876
"4111",2019,"Oregon State",11,28.24,25.2563100067613
"4112",2019,"Ohio",11,29.6849315068493,29.5795189694443
