"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"4365","Minnesota",3,4,2021,0,"Colorado",0,2.25
"4366","Mississippi State",3,1,2021,1,"Memphis",2.5,3
"4367","Missouri",3,1,2021,2,"Southeast Missouri State",4,2
"4368","NC State",3,1,2021,7,"Furman",1.5,5.5
"4369","Nebraska",3,0,2021,3,"Oklahoma",2.75,2.25
"4370","Nevada",3,0,2021,1,"Kansas State",3.5,0.75
"4371","New Mexico",3,3,2021,4,"Texas A&M",1.75,1
"4372","North Carolina",3,3,2021,7,"Virginia",1.25,3.5
"4373","Northern Illinois",3,0,2021,2,"Michigan",2,3
"4374","North Texas",3,2,2021,1,"UAB",1.75,1.25
"4375","Northwestern",3,1,2021,2,"Duke",2,4.25
"4376","Notre Dame",3,3,2021,8,"Purdue",4.25,3
"4377","Ohio",3,1,2021,2,"Louisiana",1.5,3.25
"4378","Ohio State",3,2,2021,4,"Tulsa",1.75,2.25
"4379","Oklahoma",3,5,2021,4,"Nebraska",3.75,3.25
"4380","Oklahoma State",3,4,2021,7,"Boise State",2.5,4
"4381","Ole Miss",3,2,2021,4,"Tulane",2.5,4.5
"4382","Oregon",3,1,2021,1,"Stony Brook",2.75,0.75
"4383","Oregon State",3,2,2021,12,"Idaho",1.5,2.5
"4384","Penn State",3,0,2021,5,"Auburn",1.25,1.75
"4385","Pittsburgh",3,3,2021,4,"Western Michigan",3.75,4.75
"4386","Purdue",3,4,2021,1,"Notre Dame",0.75,2.5
"4387","Rice",3,0,2021,1,"Texas",2,2.25
"4388","Rutgers",3,5,2021,2,"Delaware",2.5,1.75
"4389","San Diego State",3,3,2021,7,"Utah",3.25,3
"4390","San José State",3,2,2021,0,"Hawai'i",3.5,2
"4391","SMU",3,1,2021,8,"Louisiana Tech",2.25,2.5
"4392","South Alabama",3,4,2021,6,"Alcorn State",2.5,0.25
"4393","South Carolina",3,1,2021,0,"Georgia",2.25,1.5
"4394","Southern Mississippi",3,4,2021,1,"Troy",2,2
"4395","South Florida",3,1,2021,4,"Florida A&M",1,1.75
"4396","Stanford",3,1,2021,4,"Vanderbilt",1.75,0.25
"4397","Syracuse",3,8,2021,1,"Albany",3,1
"4398","Temple",3,1,2021,0,"Boston College",1.75,0.75
"4399","Tennessee",3,4,2021,4,"Tennessee Tech",2,2.75
"4400","Texas",3,3,2021,1,"Rice",1.5,1.25
"4401","Texas A&M",3,4,2021,5,"New Mexico",2.5,4.5
"4402","Texas State",3,1,2021,2,"Incarnate Word",0.5,2.25
"4403","Texas Tech",3,2,2021,8,"Florida International",2.75,3.75
"4404","Toledo",3,1,2021,6,"Colorado State",2.875,2.25
"4405","Troy",3,9,2021,0,"Southern Mississippi",3.25,0.5
