"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"1330","Michigan",12,2,2018,6,"Indiana",2.75,2.25
"1331","Michigan State",12,1,2018,1,"Nebraska",2.125,3.25
"1332","Middle Tennessee",12,1,2018,1,"Kentucky",2.75,4.25
"1333","Minnesota",12,2,2018,0,"Northwestern",1.75,0.25
"1334","Mississippi State",12,5,2018,5,"Arkansas",2.5,4.5
"1335","Missouri",12,3,2018,3,"Tennessee",2.25,4.5
"1336","Navy",12,0,2018,3,"Tulsa",0.25,0.75
"1337","NC State",12,3,2018,1,"Louisville",4,0.75
"1338","Nebraska",12,1,2018,4,"Michigan State",2.25,2.5
"1339","Nevada",12,2,2018,3,"San José State",3.25,0.25
"1340","New Mexico",12,3,2018,0,"Boise State",1.25,0.25
"1341","North Carolina",12,4,2018,8,"Western Carolina",2.75,1.75
"1342","Northern Illinois",12,2,2018,2,"Miami (OH)",4,2
"1343","North Texas",12,0,2018,1,"Florida Atlantic",3,2.75
"1344","Northwestern",12,4,2018,0,"Minnesota",1,1.5
"1345","Ohio",12,0,2018,2,"Buffalo",2.25,4.5
"1346","Ohio State",12,4,2018,0,"Maryland",1.25,1.25
"1347","Oklahoma",12,0,2018,2,"Kansas",1.5,1.5
"1348","Oklahoma State",12,2,2018,1,"West Virginia",2,3
"1349","Ole Miss",12,2,2018,0,"Vanderbilt",1.25,2.75
"1350","Oregon",12,4,2018,1,"Arizona State",0.75,3.5
"1351","Oregon State",12,3,2018,0,"Washington",1.25,1.5
"1352","Penn State",12,4,2018,0,"Rutgers",3.25,2.5
"1353","Pittsburgh",12,2,2018,1,"Wake Forest",3,4
"1354","Purdue",12,1,2018,0,"Wisconsin",1.75,1.25
"1355","Rice",12,1,2018,1,"LSU",1,3.25
"1356","Rutgers",12,0,2018,2,"Penn State",1.5,1.5
"1357","San Diego State",12,3,2018,0,"Fresno State",2,0.75
"1358","San José State",12,1,2018,0,"Nevada",0.5,2
"1359","SMU",12,0,2018,2,"Memphis",3.75,1.75
"1360","South Carolina",12,2,2018,3,"Chattanooga",1.75,3
"1361","South Florida",12,2,2018,0,"Temple",1.75,2.25
"1362","TCU",12,5,2018,0,"Baylor",1.75,2
"1363","Temple",12,2,2018,0,"South Florida",1.75,1.75
"1364","Tennessee",12,1,2018,0,"Missouri",2.25,1.75
"1365","Texas",12,6,2018,5,"Iowa State",2.875,4
"1366","Texas A&M",12,3,2018,0,"UAB",2.5,3.25
"1367","Texas State",12,1,2018,1,"Troy",1.5,2.25
"1368","Texas Tech",12,3,2018,0,"Kansas State",3,3
"1369","Toledo",12,3,2018,3,"Kent State",3.75,1
"1370","Troy",12,1,2018,1,"Texas State",3.5,3.5
"1371","Tulane",12,3,2018,3,"Houston",3.75,0.5
"1372","Tulsa",12,0,2018,0,"Navy",0.5,1.25
"1373","UAB",12,1,2018,0,"Texas A&M",3.25,4.25
"1374","UCF",12,4,2018,4,"Cincinnati",2,4.5
"1375","UCLA",12,1,2018,0,"USC",0.5,1
"1376","UMass",12,1,2018,0,"Georgia",0.5,0
"1377","UNLV",12,4,2018,0,"Hawai'i",1.5,0.75
"1378","USC",12,1,2018,0,"UCLA",2.5,0.25
"1379","Utah",12,6,2018,3,"Colorado",1.75,0.25
"1380","UTEP",12,3,2018,1,"Western Kentucky",1.5,3.75
"1381","UT San Antonio",12,1,2018,4,"Marshall",1,1.5
"1382","Vanderbilt",12,3,2018,5,"Ole Miss",1.25,1.75
"1383","Virginia",12,1,2018,1,"Georgia Tech",2.25,0.5
"1384","Virginia Tech",12,2,2018,3,"Miami",1.5,1.5
"1385","Wake Forest",12,2,2018,1,"Pittsburgh",1.5,3
"1386","Western Kentucky",12,3,2018,4,"UTEP",2.25,2.25
"1387","Western Michigan",12,3,2018,0,"Ball State",1.25,2
"1388","West Virginia",12,2,2018,2,"Oklahoma State",2.5,1.5
"1389","Wyoming",12,0,2018,0,"Air Force",1,2
"1390","Wisconsin",12,3,2018,0,"Purdue",1.75,3.5
"1391","Connecticut",12,0,2018,1,"East Carolina",1,0
"1392","New Mexico State",12,2,2018,2,"BYU",1.25,2.75
"1393","Old Dominion",12,4,2018,7,"VMI",1.75,2.25
"1394","Alabama",13,2,2018,7,"Auburn",3.5,1.75
"1395","Akron",13,2,2018,3,"Ohio",3,1.75
"1396","Appalachian State",13,4,2018,2,"Troy",1.25,3
"1397","Arizona",13,0,2018,0,"Arizona State",3,0.5
"1398","Arizona State",13,1,2018,0,"Arizona",2,0
"1399","Arkansas",13,0,2018,3,"Missouri",3,2.5
"1400","Auburn",13,1,2018,1,"Alabama",4,3.5
"1401","Ball State",13,2,2018,1,"Miami (OH)",0.5,0.75
"1402","Boise State",13,1,2018,0,"Utah State",3.75,0.25
"1403","Boston College",13,2,2018,5,"Syracuse",1.5,3.75
"1404","Buffalo",13,2,2018,2,"Bowling Green",2.75,1.5
"1405","Central Michigan",13,0,2018,3,"Toledo",3,0.75
"1406","Charlotte",13,1,2018,1,"Florida Atlantic",2,0.75
"1407","Cincinnati",13,3,2018,4,"East Carolina",3.5,2
"1408","Clemson",13,3,2018,8,"South Carolina",4.625,3
"1409","Coastal Carolina",13,0,2018,4,"South Alabama",0.75,1
"1410","Colorado",13,3,2018,1,"California",2.25,1.5
"1411","Colorado State",13,0,2018,2,"Air Force",1,0.5
"1412","Duke",13,2,2018,1,"Wake Forest",1,1.75
"1413","East Carolina",13,0,2018,1,"Cincinnati",2.75,3.75
"1414","Florida",13,5,2018,2,"Florida State",1.5,3.5
"1415","Florida Atlantic",13,3,2018,0,"Charlotte",2.5,1.5
"1416","Florida International",13,0,2018,2,"Marshall",1.5,0.75
"1417","Florida State",13,1,2018,6,"Florida",0.5,2.5
"1418","Fresno State",13,3,2018,3,"San José State",1.25,1.75
"1419","Georgia",13,3,2018,0,"Georgia Tech",2,1
"1420","Georgia Southern",13,2,2018,0,"Georgia State",1.25,0.5
"1421","Georgia State",13,0,2018,0,"Georgia Southern",1.75,0.25
"1422","Georgia Tech",13,0,2018,0,"Georgia",0.75,2.5
"1423","Hawai'i",13,2,2018,0,"San Diego State",1.5,1.25
"1424","Houston",13,2,2018,0,"Memphis",1.5,1
"1425","Illinois",13,1,2018,2,"Northwestern",2.25,1.75
"1426","Indiana",13,5,2018,0,"Purdue",1.25,1.75
"1427","Iowa",13,3,2018,3,"Nebraska",2.25,2.5
"1428","Iowa State",13,2,2018,4,"Kansas State",1.75,3.5
"1429","Kansas",13,2,2018,1,"Texas",1.75,1.25
"1430","Kansas State",13,1,2018,0,"Iowa State",1.5,2.25
"1431","Kent State",13,2,2018,1,"Eastern Michigan",1.75,1.5
"1432","Kentucky",13,2,2018,1,"Louisville",2.5,0.5
"1433","Liberty",13,4,2018,2,"New Mexico State",3.25,0.75
"1434","Louisiana",13,3,2018,3,"Louisiana Monroe",0.75,1.5
"1435","Louisiana Monroe",13,1,2018,0,"Louisiana",3.25,2.5
"1436","Louisiana Tech",13,3,2018,6,"Western Kentucky",3.25,1.25
"1437","Louisville",13,2,2018,0,"Kentucky",0.75,1
"1438","LSU",13,2,2018,6,"Texas A&M",2.25,3.5
"1439","Marshall",13,1,2018,3,"Florida International",3.75,11.75
"1440","Maryland",13,1,2018,0,"Penn State",1.25,0.75
"1441","Memphis",13,5,2018,3,"Houston",2.375,5.25
"1442","Miami",13,6,2018,1,"Pittsburgh",1.5,3
"1443","Miami (OH)",13,4,2018,5,"Ball State",0.75,0.75
"1444","Michigan",13,0,2018,0,"Ohio State",2.75,3.25
"1445","Michigan State",13,0,2018,1,"Rutgers",1.875,2.75
"1446","Middle Tennessee",13,7,2018,3,"UAB",2,3.5
"1447","Minnesota",13,0.5,2018,1,"Wisconsin",1.75,0.25
"1448","Mississippi State",13,4,2018,4,"Ole Miss",3.25,5.75
"1449","Missouri",13,5,2018,2,"Arkansas",2.25,3.5
"1450","Navy",13,1,2018,0,"Tulane",0.25,1
"1451","NC State",13,1,2018,2,"North Carolina",4.25,1
"1452","Nebraska",13,0,2018,2,"Iowa",2.25,2.75
"1453","Nevada",13,1,2018,0,"UNLV",3.25,1
"1454","New Mexico",13,3,2018,2,"Wyoming",1.75,0.25
"1455","North Carolina",13,2,2018,4,"NC State",2.5,2.5
"1456","Northern Illinois",13,6,2018,2,"Western Michigan",4,1
"1457","North Texas",13,3,2018,3,"UT San Antonio",2,2.5
"1458","Northwestern",13,0,2018,4,"Illinois",1.5,1.25
"1459","Notre Dame",13,2,2018,0,"USC",2,6
"1460","Ohio",13,2,2018,4,"Akron",1.75,4
"1461","Ohio State",13,3,2018,2,"Michigan",1.75,1.25
"1462","Oklahoma",13,3,2018,0,"West Virginia",1,1.75
"1463","Oklahoma State",13,1,2018,3,"TCU",2,3
"1464","Ole Miss",13,1,2018,4,"Mississippi State",1.5,2.75
"1465","Oregon State",13,2,2018,1,"Oregon",1.75,1
"1466","Penn State",13,5,2018,0,"Maryland",2.75,2.25
"1467","Pittsburgh",13,1,2018,1,"Miami",3,2.5
"1468","Purdue",13,2,2018,3,"Indiana",1,1
"1469","Rice",13,2,2018,5,"Old Dominion",1.25,3
"1470","Rutgers",13,2,2018,3,"Michigan State",1.25,2
"1471","San Diego State",13,2,2018,1,"Hawai'i",2.5,0.25
"1472","San José State",13,0,2018,4,"Fresno State",0.5,1.75
"1473","SMU",13,2,2018,1,"Tulsa",2.5,2.25
"1474","South Alabama",13,4,2018,4,"Coastal Carolina",0.75,0.75
"1475","South Carolina",13,0,2018,0,"Clemson",2,2.5
"1476","South Florida",13,1,2018,3,"UCF",1.75,1.75
"1477","Stanford",13,6,2018,1,"UCLA",2.25,2.25
"1478","Syracuse",13,3,2018,0,"Boston College",3.25,4.75
"1479","TCU",13,1,2018,3,"Oklahoma State",2,1.5
"1480","Temple",13,4,2018,4,"Connecticut",2.25,1.5
"1481","Tennessee",13,3,2018,1,"Vanderbilt",2.5,1.25
"1482","Texas",13,3,2018,0,"Kansas",3.625,3
"1483","Texas A&M",13,6,2018,1,"LSU",3,2.25
"1484","Texas State",13,2,2018,1,"Arkansas State",1.25,2.5
"1485","Texas Tech",13,3,2018,2,"Baylor",3,2
"1486","Toledo",13,6,2018,2,"Central Michigan",3.25,1.75
"1487","Troy",13,1,2018,1,"Appalachian State",3.25,2.75
"1488","Tulane",13,2,2018,0,"Navy",3.75,1.25
"1489","Tulsa",13,5,2018,1,"SMU",0.5,0.75
"1490","UAB",13,2,2018,0,"Middle Tennessee",2.5,3
"1491","UCF",13,4,2018,1,"South Florida",2.75,5
"1492","UCLA",13,0,2018,1,"Stanford",0.75,1
"1493","UNLV",13,0,2018,0,"Nevada",2.5,0.75
"1494","USC",13,3,2018,0,"Notre Dame",2.5,0.25
"1495","Utah",13,3,2018,0,"BYU",2.75,1
"1496","UTEP",13,2,2018,1,"Southern Mississippi",1.25,3
"1497","UT San Antonio",13,1,2018,1,"North Texas",0.75,2.25
"1498","Vanderbilt",13,1,2018,4,"Tennessee",1.5,2.5
"1499","Virginia",13,1,2018,5,"Virginia Tech",1.5,0.25
"1500","Virginia Tech",13,1,2018,5,"Virginia",1.25,2
"1501","Wake Forest",13,2,2018,2,"Duke",2,2.5
"1502","Washington",13,2,2018,2,"Washington State",1.75,0.5
"1503","Washington State",13,1,2018,0,"Washington",3,1.75
"1504","Western Kentucky",13,5,2018,1,"Louisiana Tech",2.25,2.75
"1505","Western Michigan",13,4,2018,0,"Northern Illinois",1.75,1.25
"1506","West Virginia",13,0,2018,0,"Oklahoma",3,1.5
"1507","Wyoming",13,4,2018,1,"New Mexico",1,1.5
"1508","Wisconsin",13,0,2018,1,"Minnesota",1.75,2.5
"1509","Connecticut",13,0,2018,0,"Temple",0.75,0.25
"1510","New Mexico State",13,2,2018,1,"Liberty",1.25,2.5
"1511","Old Dominion",13,1,2018,3,"Rice",2.5,3.25
"1512","Alabama",14,2,2018,3,"Georgia",3.25,3
"1513","Akron",14,2,2018,1,"South Carolina",2.25,2
"1514","Appalachian State",14,0,2018,4,"Louisiana",2.25,3.25
"1515","Boise State",14,2,2018,0,"Fresno State",3.25,0.25
"1516","Buffalo",14,4,2018,4,"Northern Illinois",2.75,1.5
"1517","Clemson",14,2,2018,3,"Pittsburgh",4.125,4.75
"1518","East Carolina",14,2,2018,1,"NC State",2,3.25
"1519","Fresno State",14,2,2018,0,"Boise State",1.5,2.5
"1520","Georgia",14,2,2018,4,"Alabama",2.5,0.75
"1521","Iowa State",14,2,2018,1,"Drake",1.75,2.25
"1522","Liberty",14,0,2018,0,"Norfolk State",3,1.25
"1523","Louisiana",14,3,2018,0,"Appalachian State",1.25,1.75
"1524","Marshall",14,3,2018,2,"Virginia Tech",3.5,8
"1525","Memphis",14,1,2018,0,"UCF",3.625,6
"1526","Middle Tennessee",14,2,2018,1,"UAB",3.25,4
"1527","NC State",14,2,2018,5,"East Carolina",3.25,1
"1528","Northwestern",14,4,2018,0,"Ohio State",1.25,2
"1529","Ohio State",14,5,2018,4,"Northwestern",2,1.75
"1530","Oklahoma",14,3,2018,4,"Texas",1.75,1.25
"1531","Pittsburgh",14,1,2018,0,"Clemson",2.5,2
"1532","South Carolina",14,5,2018,7,"Akron",1.5,1.5
"1533","Stanford",14,3,2018,1,"California",3,2.5
"1534","Texas",14,2,2018,2,"Oklahoma",3.625,2
"1535","UAB",14,2,2018,2,"Middle Tennessee",2.5,2.5
"1536","UCF",14,2,2018,4,"Memphis",3,2.5
"1537","Utah",14,1,2018,3,"Washington",3.25,0.75
"1538","Virginia Tech",14,1,2018,6,"Marshall",1.25,3.25
"1539","Washington",14,2,2018,1,"Utah",2,0.5
"1540","Air Force",1,2,2019,4,"Colgate",1.75,1.25
"1541","Alabama",1,1,2019,0,"Duke",2.5,3.25
"1542","Akron",1,2,2019,0,"Illinois",1.75,2
"1543","Appalachian State",1,2,2019,2,"East Tennessee State",1.5,4
"1544","Arizona",1,1,2019,1,"Hawai'i",2,0.25
"1545","Arizona State",1,4.5,2019,0,"Kent State",1.75,0
"1546","Arkansas",1,6,2019,6,"Portland State",1.5,2.25
"1547","Arkansas State",1,1,2019,7,"SMU",2,0.5
"1548","Army",1,0,2019,0,"Rice",0.5,0.5
"1549","Auburn",1,3,2019,1,"Oregon",2.75,2.5
"1550","Ball State",1,0,2019,3,"Indiana",0.5,1
"1551","Baylor",1,3,2019,4,"Stephen F. Austin",1.75,1
"1552","Boise State",1,4,2019,1,"Florida State",3.25,0
"1553","Boston College",1,2,2019,1,"Virginia Tech",1.25,5
"1554","Bowling Green",1,4,2019,3,"Morgan State",2.5,0
"1555","Buffalo",1,2,2019,0,"Robert Morris",2.25,2
"1556","BYU",1,0,2019,0,"Utah",3,0.5
"1557","California",1,2,2019,5,"UC Davis",3.5,1.75
"1558","Central Michigan",1,0,2019,1,"Albany",3,1.25
"1559","Charlotte",1,5.5,2019,5,"Gardner-Webb",1.5,1
"1560","Cincinnati",1,2,2019,7,"UCLA",3.75,2
"1561","Clemson",1,4,2019,1,"Georgia Tech",3.25,4.75
"1562","Coastal Carolina",1,1,2019,0,"Eastern Michigan",0.5,1.75
"1563","Colorado",1,2,2019,2,"Colorado State",1.5,1.5
"1564","Colorado State",1,0,2019,2,"Colorado",0.25,1
"1565","Duke",1,1,2019,0,"Alabama",1.25,1
"1566","East Carolina",1,0,2019,1,"NC State",2,2.5
"1567","Eastern Michigan",1,1,2019,2,"Coastal Carolina",1.5,2.75
"1568","Florida",1,10,2019,5,"Miami",2.5,3.5
"1569","Florida Atlantic",1,2,2019,2,"Ohio State",2.5,0.5
"1570","Florida International",1,1,2019,0,"Tulane",1,1
"1571","Florida State",1,6,2019,8,"Boise State",0.75,3
"1572","Fresno State",1,1,2019,0,"USC",1.75,1.75
"1573","Georgia",1,2,2019,4,"Vanderbilt",2,1
"1574","Georgia Southern",1,0,2019,0,"LSU",1.25,0.25
"1575","Georgia State",1,4,2019,2,"Tennessee",1,0.25
"1576","Georgia Tech",1,0,2019,0,"Clemson",0.5,2
"1577","Hawai'i",1,2,2019,2,"Arizona",1.25,0.5
"1578","Houston",1,0,2019,0,"Oklahoma",1.5,1
"1579","Illinois",1,6,2019,3,"Akron",2.25,2.25
"1580","Indiana",1,3,2019,4,"Ball State",1.75,1.5
"1581","Iowa",1,1,2019,1,"Miami (OH)",2.25,2.5
"1582","Iowa State",1,3,2019,6,"Northern Iowa",2,2.5
"1583","Kansas",1,3,2019,1,"Indiana State",2,1.5
"1584","Kansas State",1,0,2019,2,"Nicholls",1.75,1.5
"1585","Kent State",1,5,2019,0,"Arizona State",2,1.25
"1586","Kentucky",1,4,2019,1,"Toledo",2.5,0.75
"1587","Liberty",1,2,2019,1,"Syracuse",1.25,1.25
"1588","Louisiana",1,2,2019,1,"Mississippi State",1.75,1.5
"1589","Louisiana Monroe",1,0,2019,0,"Grambling",2.75,1.25
"1590","Louisiana Tech",1,1,2019,0,"Texas",3,2
"1591","Louisville",1,3,2019,4,"Notre Dame",1,1
"1592","LSU",1,2,2019,1,"Georgia Southern",2.5,4
"1593","Marshall",1,4,2019,11,"VMI",3.75,8.25
"1594","Maryland",1,8,2019,0,"Howard",1.5,0.75
"1595","Memphis",1,3,2019,4,"Ole Miss",3.375,2.25
"1596","Miami",1,1,2019,3,"Florida",2.75,3
"1597","Miami (OH)",1,1,2019,1,"Iowa",1.75,2
"1598","Michigan",1,3,2019,4,"Middle Tennessee",1.75,2.25
"1599","Michigan State",1,6,2019,3,"Tulsa",1.625,1
"1600","Middle Tennessee",1,2,2019,1,"Michigan",3.25,2.25
"1601","Minnesota",1,1,2019,0,"South Dakota State",1.625,0.5
"1602","Mississippi State",1,1,2019,0,"Louisiana",3.5,4
"1603","Missouri",1,0,2019,0,"Wyoming",2.75,3.25
"1604","Navy",1,3,2019,1,"Holy Cross",0.5,0.75
"1605","NC State",1,3,2019,7,"East Carolina",2.5,2
"1606","Nebraska",1,4,2019,2,"South Alabama",1.25,3.25
"1607","Nevada",1,1,2019,0,"Purdue",2.25,0.75
"1608","New Mexico",1,3,2019,6,"Sam Houston State",2.25,0.75
"1609","North Carolina",1,3,2019,4,"South Carolina",2.25,3.5
"1610","Northern Illinois",1,1,2019,1,"Illinois State",4.5,1.25
"1611","North Texas",1,2,2019,4,"Abilene Christian",1.75,2.75
"1612","Northwestern",1,2.5,2019,1,"Stanford",2.25,1.5
"1613","Notre Dame",1,4,2019,3,"Louisville",2.25,3.5
"1614","Ohio",1,2,2019,6,"Rhode Island",1.75,2.5
"1615","Ohio State",1,4,2019,1,"Florida Atlantic",3,2.5
"1616","Oklahoma",1,3,2019,4,"Houston",2,1.75
"1617","Oklahoma State",1,1,2019,8,"Oregon State",2,2.75
"1618","Ole Miss",1,2,2019,3,"Memphis",1.5,3
"1619","Oregon",1,1,2019,7,"Auburn",1.5,3.25
"1620","Oregon State",1,1,2019,1,"Oklahoma State",2,1.25
"1621","Penn State",1,7,2019,0,"Idaho",3.25,0.5
"1622","Pittsburgh",1,3,2019,6,"Virginia",2.25,0.5
"1623","Purdue",1,1,2019,0,"Nevada",1.25,1.75
"1624","Rice",1,0,2019,2,"Army",1,3.25
"1625","Rutgers",1,2,2019,10,"UMass",1,1.75
"1626","San Diego State",1,1,2019,0,"Weber State",3,0.5
"1627","San José State",1,4,2019,3,"Northern Colorado",0.25,1.5
"1628","SMU",1,2,2019,5,"Arkansas State",2.25,2
"1629","South Alabama",1,2,2019,1,"Nebraska",1.75,1.5
"1630","South Carolina",1,3,2019,1,"North Carolina",2.25,2.75
"1631","Southern Mississippi",1,4,2019,3,"Alcorn State",3,3
"1632","South Florida",1,3,2019,3,"Wisconsin",1.75,1.25
"1633","Stanford",1,3,2019,5,"Northwestern",3.5,1.75
"1634","Syracuse",1,8,2019,2,"Liberty",3.75,3.75
"1635","TCU",1,2,2019,0,"Arkansas-Pine Bluff",2,1.75
"1636","Temple",1,2,2019,0,"Bucknell",2.25,2.5
"1637","Tennessee",1,2,2019,3,"Georgia State",3,1.25
"1638","Texas",1,1,2019,0,"Louisiana Tech",4.125,2
"1639","Texas A&M",1,3,2019,2,"Texas State",3.75,2.25
"1640","Texas State",1,0,2019,4,"Texas A&M",1,1
"1641","Texas Tech",1,1,2019,3,"Montana State",3,1.75
"1642","Toledo",1,1,2019,1,"Kentucky",3.5,2.25
"1643","Troy",1,5,2019,2,"Campbell",2.5,1.75
"1644","Tulane",1,3,2019,4,"Florida International",3.75,1
"1645","Tulsa",1,1,2019,2,"Michigan State",1.75,1
"1646","UAB",1,3,2019,1,"Alabama State",3,2.5
"1647","UCF",1,2,2019,14,"Florida A&M",2.75,2.25
"1648","UCLA",1,1,2019,2,"Cincinnati",0.5,1.25
"1649","UMass",1,1,2019,2,"Rutgers",0.75,0
"1650","UNLV",1,4,2019,0,"Southern Utah",1.75,0.25
"1651","USC",1,3,2019,0,"Fresno State",2.25,0
"1652","Utah",1,1,2019,0,"BYU",3.5,1.5
"1653","Utah State",1,3,2019,2,"Wake Forest",1.5,2.5
"1654","UTEP",1,2,2019,1,"Houston Baptist",1.75,2.25
"1655","UT San Antonio",1,4,2019,7,"Incarnate Word",0.75,2.25
"1656","Vanderbilt",1,0,2019,4,"Georgia",1.75,3.25
"1657","Virginia",1,4,2019,7,"Pittsburgh",1.5,1.5
"1658","Virginia Tech",1,1,2019,1,"Boston College",1.25,3.75
"1659","Wake Forest",1,1,2019,5,"Utah State",2,1.5
"1660","Washington",1,4,2019,0,"Eastern Washington",2.25,0.75
"1661","Washington State",1,3,2019,4,"New Mexico State",2.5,0.75
"1662","Western Kentucky",1,3,2019,2,"Central Arkansas",3.25,2.5
"1663","Western Michigan",1,3,2019,4,"Monmouth",1.75,0.5
"1664","West Virginia",1,4,2019,0,"James Madison",1.75,1.25
"1665","Wyoming",1,2,2019,0,"Missouri",1.75,1.75
"1666","Wisconsin",1,4,2019,2,"South Florida",1.5,1.5
"1667","Connecticut",1,4,2019,1,"Wagner",0.75,0.25
"1668","New Mexico State",1,1,2019,3,"Washington State",1.5,2.75
"1669","Old Dominion",1,2,2019,1,"Norfolk State",2.25,4
"1670","Alabama",2,3,2019,8,"New Mexico State",1.5,2.5
"1671","Akron",2,0,2019,0,"UAB",2,1
"1672","Appalachian State",2,4,2019,5,"Charlotte",1.5,3
"1673","Arizona",2,1,2019,0,"Northern Arizona",2,0.5
"1674","Arizona State",2,3,2019,0,"Sacramento State",2.125,0
"1675","Arkansas",2,1,2019,1,"Ole Miss",2.25,3.25
"1676","Arkansas State",2,6,2019,0,"UNLV",2.25,2
"1677","Army",2,4,2019,1,"Michigan",0.25,0
"1678","Auburn",2,0,2019,4,"Tulane",2.25,1.25
"1679","Ball State",2,2,2019,1,"Fordham",0.5,1.25
"1680","Baylor",2,3,2019,6,"UT San Antonio",2.25,1.75
"1681","Boise State",2,3,2019,0,"Marshall",2.5,0.25
"1682","Boston College",2,1,2019,1,"Richmond",1.75,3
"1683","Bowling Green",2,2,2019,0,"Kansas State",3.25,0.75
"1684","Buffalo",2,3,2019,0,"Penn State",2.25,2
"1685","BYU",2,1,2019,1,"Tennessee",2,0.25
"1686","California",2,4,2019,0,"Washington",2.25,2
"1687","Central Michigan",2,1,2019,1,"Wisconsin",2.5,1.25
"1688","Charlotte",2,3,2019,3,"Appalachian State",2.125,1.5
"1689","Cincinnati",2,1,2019,0,"Ohio State",3,3.75
"1690","Clemson",2,2,2019,4,"Texas A&M",3.25,4.25
"1691","Coastal Carolina",2,2,2019,0,"Kansas",0.25,1.5
"1692","Colorado",2,6,2019,1,"Nebraska",1.5,2
"1693","Colorado State",2,7,2019,9,"Western Illinois",0.25,1.25
"1694","Duke",2,2,2019,3,"North Carolina A&T",0.75,0.75
"1695","East Carolina",2,5,2019,4,"Gardner-Webb",1.5,2.75
"1696","Eastern Michigan",2,2,2019,0,"Kentucky",1.75,2.75
"1697","Florida",2,5,2019,0,"UT Martin",4.75,4.75
"1698","Florida Atlantic",2,1,2019,5,"UCF",2.75,0.5
"1699","Florida International",2,0,2019,2,"Western Kentucky",1.25,0.75
"1700","Florida State",2,1,2019,1,"Louisiana Monroe",2.25,4.75
"1701","Fresno State",2,4,2019,1,"Minnesota",1.75,1.75
"1702","Georgia",2,6,2019,0,"Murray State",2.5,2
"1703","Georgia Southern",2,2,2019,1,"Maine",1.25,0.25
"1704","Georgia State",2,3,2019,2,"Furman",1.75,0.75
"1705","Georgia Tech",2,4,2019,2,"South Florida",0.5,0.5
"1706","Hawai'i",2,1,2019,3,"Oregon State",1.5,0.75
"1707","Houston",2,3,2019,4,"Prairie View",1.25,0.5
"1708","Illinois",2,5,2019,4,"Connecticut",3,2
"1709","Indiana",2,3,2019,1,"Eastern Illinois",2.25,2.5
"1710","Iowa",2,1,2019,8,"Rutgers",2.25,2.75
"1711","Kansas",2,3,2019,1,"Coastal Carolina",2,1.25
"1712","Kansas State",2,1,2019,5,"Bowling Green",1.75,1.5
"1713","Kent State",2,2,2019,3,"Kennesaw State",2.5,1
"1714","Kentucky",2,2,2019,4,"Eastern Michigan",3.5,0.75
"1715","Liberty",2,2,2019,2,"Louisiana",1.75,1.5
"1716","Louisiana",2,3,2019,7,"Liberty",2,1.25
"1717","Louisiana Monroe",2,2,2019,3,"Florida State",1.5,1
"1718","Louisiana Tech",2,3,2019,3,"Grambling",2.5,1.75
"1719","Louisville",2,5,2019,2,"Eastern Kentucky",1.5,1.5
"1720","LSU",2,5,2019,3,"Texas",2.75,3.5
"1721","Marshall",2,2,2019,0,"Boise State",3.25,8
"1722","Maryland",2,4,2019,0,"Syracuse",3.5,0.75
"1723","Memphis",2,2,2019,2,"Southern",2.875,2.25
"1724","Miami",2,4,2019,2,"North Carolina",2.75,2
"1725","Miami (OH)",2,1,2019,1,"Tennessee Tech",1.5,2
"1726","Michigan",2,1,2019,0,"Army",1.25,3
"1727","Michigan State",2,3,2019,4,"Western Michigan",2.125,1.75
"1728","Middle Tennessee",2,0,2019,5,"Tennessee State",3,1.5
"1729","Minnesota",2,4,2019,0,"Fresno State",1.625,0.25
"1730","Mississippi State",2,2,2019,3,"Southern Mississippi",3.5,3
"1731","Missouri",2,3,2019,1,"West Virginia",2.5,1.5
"1732","NC State",2,4,2019,5,"Western Carolina",2.25,3.75
"1733","Nebraska",2,3,2019,3,"Colorado",2,3.75
"1734","Nevada",2,1,2019,3,"Oregon",2.25,0.75
"1735","North Carolina",2,4,2019,7,"Miami",3,4.5
"1736","Northern Illinois",2,0,2019,0,"Utah",3.5,1.25
"1737","North Texas",2,2,2019,3,"SMU",1.75,2.75
"1738","Ohio",2,1,2019,8,"Pittsburgh",1.75,3.75
"1739","Ohio State",2,5,2019,0,"Cincinnati",4,1.75
"1740","Oklahoma",2,2,2019,3,"South Dakota",2.25,2.5
"1741","Oklahoma State",2,2,2019,1,"McNeese",1.75,3.75
"1742","Ole Miss",2,3,2019,7,"Arkansas",1.5,2
"1743","Oregon",2,5,2019,4,"Nevada",1.75,4.75
"1744","Oregon State",2,3,2019,1,"Hawai'i",1.75,1.5
"1745","Penn State",2,1,2019,3,"Buffalo",4.75,0.25
"1746","Pittsburgh",2,6,2019,5,"Ohio",1.75,2
"1747","Purdue",2,3,2019,2,"Vanderbilt",1.25,0.75
"1748","Rice",2,0,2019,0,"Wake Forest",1,2.5
"1749","Rutgers",2,1,2019,0,"Iowa",1.25,4
"1750","San Diego State",2,3,2019,0,"UCLA",1.75,0.5
"1751","San José State",2,0,2019,3,"Tulsa",1.25,2.25
"1752","SMU",2,5,2019,2,"North Texas",1.75,3.25
"1753","South Alabama",2,1,2019,1,"Jackson State",1.5,1.25
"1754","South Carolina",2,1,2019,5,"Charleston Southern",2.5,2.75
"1755","Southern Mississippi",2,3,2019,2,"Mississippi State",2.5,2.75
