"","team","week","year","L3_avg_down","L3_avg_def_down","L3_avg_distance","L3_avg_def_distance","L3_avg_drive_efficiency","L3_avg_def_drive_efficiency"
"266","Tulsa",2,2010,1.44444444444444,1.63716814159292,7.08333333333333,7.08849557522124,0.229458692612607,1.63286246982239
"267","UAB",2,2010,1.67692307692308,1.75471698113208,7.26153846153846,7.41509433962264,0.511121759809735,-2.75174835145641
"268","UCF",2,2010,1.37931034482759,1.87931034482759,6.3448275862069,8.86206896551724,3.08011881617036,-3.37088538004275
"269","UCLA",2,2010,1.78409090909091,1.81,7.93181818181818,6.84,-2.51567485632891,1.17108467045229
"270","UNLV",2,2010,1.87671232876712,1.53191489361702,8.3972602739726,6.31914893617021,-0.93691434653283,-2.85614547883289
"271","USC",2,2010,1.52631578947368,1.67961165048544,7.13157894736842,8.36893203883495,-0.506500371329571,2.66812265938996
"272","Utah",2,2010,1.82142857142857,1.96774193548387,8.07142857142857,7.65591397849462,1.02556749856562,-0.929911017714728
"273","Utah State",2,2010,1.83505154639175,1.73636363636364,8.02061855670103,8,-2.59463049500909,0.384884198746361
"274","UTEP",2,2010,1.52941176470588,1.92105263157895,7.05882352941176,7.46052631578947,0.741815677277092,-3.29520421396626
"275","Vanderbilt",2,2010,1.70967741935484,1.80681818181818,7.73118279569892,7.98863636363636,0.732961716169966,-1.91711077432745
"276","Virginia",2,2010,1.53684210526316,1.98780487804878,6.63157894736842,8.60975609756098,1.37915159425292,-2.84772927581787
"277","Virginia Tech",2,2010,1.66315789473684,1.74193548387097,7.68421052631579,7.90322580645161,0.985737240707748,-0.781236732258939
"278","Wake Forest",2,2010,1.6989247311828,2.09473684210526,6.91397849462366,8.30526315789474,0.625623318678923,-3.22797646542028
"279","Washington",2,2010,1.95604395604396,1.81443298969072,7.87912087912088,7.27835051546392,-3.25877436158189,0.311403586308177
"280","Washington State",2,2010,2,1.44347826086957,7.41758241758242,6.44347826086956,-3.08545331997076,2.24180641322994
"281","West Virginia",2,2010,1.73118279569892,2.25316455696203,6.48387096774194,9.34177215189873,0.550597586521841,-3.70180023428477
"282","Western Illinois",2,2010,NA,NA,NA,NA,NA,NA
"283","Western Kentucky",2,2010,1.97647058823529,1.3375,8,6.3,-4.14357149481653,2.52963159712184
"284","Western Michigan",2,2010,2.04545454545455,1.55952380952381,7.22727272727273,6.85714285714286,-2.75537329838384,1.5145544439369
"285","Wisconsin",2,2010,1.53191489361702,1.87671232876712,6.31914893617021,8.3972602739726,-2.85614547883289,-0.93691434653283
"286","Wyoming",2,2010,1.64197530864198,1.92307692307692,7.34567901234568,7.28846153846154,0.96420537075971,-1.56496117637039
"287","Air Force",3,2010,1.4899385408406,1.86841070023603,6.7174861221253,8.33903750327826,2.37622386492567,-2.62372835763519
"288","Akron",3,2010,1.89799139167862,1.73521888834235,8.09641319942611,7.05937038858829,-0.424076771126094,-1.62773824135059
"289","Alabama",3,2010,1.53396603396603,2.11457925636008,6.52297702297702,8.64569471624266,1.83796737282882,-4.07926819044691
"290","Arizona",3,2010,1.43249607535322,2.15140415140415,6.51805337519623,7.83699633699634,0.395594102772278,-2.33739164633543
"291","Arizona State",3,2010,1.48442367601246,1.97261975162626,7.22298481308411,8.197989355411,1.65660565527245,-2.99135066460743
"292","Arkansas",3,2010,1.47859040475074,2.14880952380952,7.45288326300984,9.42045454545454,-0.237281377106892,-2.59750141748346
"293","Arkansas State",3,2010,1.86143979317888,1.58483516483516,8.08103808292731,7.53862637362637,-2.4870369684208,1.16860900068373
"294","Army",3,2010,1.90526315789474,1.40277777777778,5.6,9.58333333333333,0.784517936803939,-1.76539134382751
"295","Auburn",3,2010,1.57288114184666,1.91561314791403,7.89086775293672,7.93757901390645,0.240109617675295,-1.07299619279306
"296","Ball State",3,2010,1.70497737556561,1.67106681034483,7.04828700711054,8.04184626436782,0.0674471440934076,-2.25031558060147
"297","Baylor",3,2010,1.69633838383838,2.12678262748487,7.61442550505051,8.50048617113224,0.660299981874084,-3.71443321481524
"298","Boise State",3,2010,1.74193548387097,1.66315789473684,7.90322580645161,7.68421052631579,-0.781236732258939,0.985737240707748
"299","Bowling Green",3,2010,1.79419237749546,1.5906862745098,8.24156079854809,7.55833333333333,-1.8278161919393,1.2730202873511
"300","Buffalo",3,2010,1.88398829431438,2.00883838383838,7.99059364548495,7.70817550505051,-1.72132828437951,-1.38739300876458
"301","BYU",3,2010,1.84014332411365,1.8285374419395,7.59649233090269,7.59935425399343,-1.24719529161273,-0.952822360892923
"302","California",3,2010,1.41363636363636,2.00514002126905,6.23159090909091,8.44966323998582,1.44865748054644,-3.55475809113495
"303","Central Michigan",3,2010,1.80634920634921,2.06523569023569,7.33350970017637,8.34904601571268,-2.02805932495428,-2.42378299615514
"304","Cincinnati",3,2010,1.70231991796975,1.98043010752688,8.22096898231223,8.10258064516129,-0.589622485864656,-1.4854330479764
"305","Clemson",3,2010,1.39498933901919,1.90691244239631,6.63619402985075,7.47711213517665,1.5252431092923,-2.94826425472938
"306","Colorado",3,2010,1.87273191924355,1.72474747474747,7.81631740352671,6.88131313131313,-2.55680742118085,0.410439898413081
"307","Colorado State",3,2010,1.97277777777778,1.52314400715564,7.88472222222222,7.03678443649374,-2.11160595576393,1.28758826360436
