Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81856-129560,WR,Xavier,Xavier Restrepo,Restrepo,10.199999809265137,1,6000,MIA@VT,MIA,VT,O,Foot,,,,WR/Super FLEX
81856-94748,QB,Tommy,Tommy DeVito,DeVito,14.808000183105468,5,6000,MINN@ILL,ILL,MINN,Q,Lower leg,,,,QB/Super FLEX
81856-86612,TE,Brayden,Brayden Willis,Willis,9.876666386922201,6,6000,KU@OU,OU,KU,,,,,,WR/Super FLEX
81856-103083,WR,Theo,Theo Wease,Wease,9.25,4,6000,KU@OU,OU,KU,,,,,,WR/Super FLEX
81856-85905,RB,Bryce,Bryce Williams,Williams,8.574999809265137,4,6000,MINN@ILL,MINN,ILL,,,,,,RB/Super FLEX
81856-156596,RB,Jarquez,Jarquez Hunter,Hunter,10.5,5,6000,AUB@MISS,AUB,MISS,,,,,,RB/Super FLEX
81856-120053,WR,Lawrence,Lawrence Arnold,Arnold,7.6,5,5900,KU@OU,KU,OU,,,,,,WR/Super FLEX
81856-112095,WR,Javon,Javon Harvey,Harvey,6.449999809265137,2,5900,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-103587,TE,Brenton,Brenton Strange,Strange,10.919999694824218,5,5800,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-168170,QB,Nick,Nick Evers,Evers,0,1,5800,KU@OU,OU,KU,,,,,,QB/Super FLEX
81856-103296,QB,Davis,Davis Beville,Beville,-0.10499999672174454,4,5800,KU@OU,OU,KU,,,,,,QB/Super FLEX
81856-152574,RB,Donovan,Donovan Edwards,Edwards,10.425000190734863,4,5800,PSU@MICH,MICH,PSU,,,,,,RB/Super FLEX
81856-155775,WR,Brashard,Brashard Smith,Smith,5.875,4,5700,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-152007,WR,Jaylin,Jaylin Noel,Noel,7.180000305175781,5,5700,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-112328,TE,Mason,Mason Fairchild,Fairchild,7.875,4,5700,KU@OU,KU,OU,,,,,,WR/Super FLEX
