"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"6282","Graham Mertz",97994,"QB","WISCONSIN",1,21,95.2,20,12,349,0,155.5,2,5,248,11.8,8,2020,29.92,29.92,1,"Wisconsin","Paul Chryst",5,90,4.5,1.5,0,97.05,0.5,0,36.5,7.3,1.46,1.46
"6283","Levi Williams",98365,"QB","WYOMING",1,31,51.6,16,8,351,1,72.9,3,1,227,7.3,8,2020,12.08,12.08,1,"Wyoming","Craig Bohl",13,65.6,6.33333333333333,4.66666666666667,0.666666666666667,85.8666666666667,1,1,114.333333333333,9.7,7.90666666666667,7.90666666666667
"6284","Sean Chambers",75888,"QB","WYOMING",1,1,100,1,0,351,0,91.7,0,0,6,6,8,2020,0.24,0.24,2,"Wyoming","Craig Bohl",12.5,51.025,6.25,7,0.5,96.4,1.25,1.5,119,10.3,10.26,10.26
"6285","Mac Jones",60323,"QB","ALABAMA",1,31,77.4,24,13,103,0,145.3,1,4,291,9.4,9,2020,27.64,27.64,1,"Alabama","Nick Saban",31.25,77.575,24.25,19.25,0.5,133.925,1,2.5,414,13.375,29.06,26.06
"6286","Bryce Young",123943,"QB","ALABAMA",1,2,0,0,0,103,0,39.6,1,0,0,0,9,2020,0,0,2,"Alabama","Nick Saban",6.5,61.25,4,3,0,79.7,1.5,0,42,6.4,1.68,1.68
"6287","Zac Thomas",39989,"QB","APP STATE",1,18,72.2,13,10,108,1,111.3,2,2,152,8.4,9,2020,13.08,13.08,1,"Appalachian State","Shawn Clark",25.25,64.85,16,11.25,0.75,94.475,1.5,1.5,203.5,8.275,13.39,13.39
"6288","Logan Bonner",39990,"QB","ARK STATE",1,27,55.6,15,7,113,0,62,1,0,88,3.3,9,2020,3.52,3.52,1,"Arkansas State","Blake Anderson",23.75,62.4,14.75,9.75,0,113.25,1.75,2,180.25,7.775,15.21,15.21
"6289","Layne Hatcher",82068,"QB","ARK STATE",1,22,59.1,13,8,113,0,101.1,0,1,183,8.3,9,2020,11.32,11.32,2,"Arkansas State","Blake Anderson",21,59.1,12.75,9.25,0.5,105.25,2,2,211.25,9.975,16.7,15.95
"6290","Feleipe Franks",40217,"QB","ARKANSAS",1,30,73.3,22,14,111,0,128.5,4,3,230,7.7,9,2020,21.2,21.2,1,"Arkansas","Sam Pittman",32.25,64.325,20.5,12.25,0.75,98.775,2.75,2,237,7.5,17.48,16.73
"6291","Treylon Burks",99218,"WR","ARKANSAS",1,1,0,0,0,111,0,39.6,0,0,0,0,9,2020,0,0,2,"Arkansas","Sam Pittman",1,0,0,0,0.333333333333333,26.4,0,0,0,0,-0.333333333333333,-0.333333333333333
"6292","Bo Nix",97790,"QB","AUBURN",1,24,75,18,15,115,0,156.1,0,3,299,12.5,9,2020,23.96,23.96,1,"Auburn","Gus Malzahn",39,63.35,23.5,13,1.5,79.2,1.5,1,255,6.8,12.7,12.7
"6293","Bo Nix",97790,"QB","AUBURN",1,24,75,18,15,115,0,156.1,0,3,299,12.5,9,2020,23.96,23.96,1,"Auburn","Kevin Steele",33,69.6,22,12.5,0.75,106.15,1.25,1.5,261.75,8.5,15.72,15.72
"6294","Grant Loy",40276,"QB","AUBURN",1,2,0,0,0,115,0,39.6,0,0,0,0,9,2020,0,0,2,"Auburn","Kevin Steele",2,0,0,0,0,39.6,0,0,0,0,0,0
"6295","Charlie Brewer",60344,"QB","BAYLOR",1,37,45.9,17,11,118,1,70,7,2,203,5.5,9,2020,15.12,15.12,1,"Baylor","Dave Aranda",36,63.3,22.75,11.75,0.75,87.175,2.75,1.75,206.75,5.775,14.52,14.52
"6296","Jack Sears",60580,"QB","BOISE ST",1,20,85,17,13,120,0,158.3,0,3,280,14,9,2020,23.2,23.2,1,"Boise State","Bryan Harsin",4,75,3,1,0,91.7,0,0,26,6.5,1.04,1.04
"6297","Phil Jurkovec",83533,"QB","BOSTON COL",1,26,46.2,12,10,121,0,98.9,2,2,204,7.8,9,2020,16.16,16.16,1,"Boston College","Jeff Hafley",37.5,63.175,24,14.75,0.25,101.575,2.75,2,255.5,7.025,19.47,17.97
"6298","Dennis Grosel",60351,"QB","BOSTON COL",1,1,100,1,1,121,0,83.3,0,0,4,4,9,2020,0.16,0.16,2,"Boston College","Jeff Hafley",21.25,52.125,11.5,7.5,0.5,70.35,2,0.75,125,5.65,7.5,7.5
"6299","Zach Wilson",82096,"QB","BYU",1,32,56.3,18,13,128,1,96.4,0,3,224,7,9,2020,19.96,19.96,1,"BYU","Kalani Sitake",28.75,78,22.25,15.25,0,143.05,0.5,3,326.75,11.425,26.57,25.07
"6300","Baylor Romney",82095,"QB","BYU",1,5,60,3,0,128,0,68.8,0,0,20,4,9,2020,0.8,0.8,2,"BYU","Kalani Sitake",13.25,69.5,9,6.25,0.5,91.95,0.25,0.75,109.5,9.475,6.88,6.88
"6301","Chris Reynolds",60361,"QB","CHARLOTTE",1,34,52.9,18,11,136,0,77,5,1,171,5,9,2020,10.84,10.84,1,"Charlotte","Will Healy",26.75,59.075,15.75,10.25,0.5,97.95,2.25,1.25,233.25,8.925,14.58,13.83
"6302","Dom Shoffner",62788,"QB","CHARLOTTE",1,2,0,0,0,136,0,39.6,0,0,0,0,9,2020,0,0,2,"Charlotte","Will Healy",1,100,1,1,0,158.3,0,1,18,18,4.72,4.72
"6303","Desmond Ridder",55086,"QB","CINCINNATI",1,26,80.8,21,17,138,1,132.5,2,3,271,10.4,9,2020,21.84,21.84,1,"Cincinnati","Luke Fickell",24.75,61.575,15,9.75,1,95.425,0.75,1.75,180.75,7.4,13.23,13.23
"6304","DJ Uiagalelei",122162,"QB","CLEMSON",1,43,69.8,30,18,140,0,108.9,1,2,342,8,9,2020,24.68,21.68,1,"Clemson","Dabo Swinney",4,51.5,2.5,1,0,63.75,0,0,21.5,2.625,0.86,0.86
"6305","Grayson McCall",98002,"QB","COAST CAR",1,24,75,18,13,141,0,148.3,0,4,254,10.6,9,2020,26.16,26.16,1,"Coastal Carolina","Jamey Chadwell",21.75,67.425,14.75,11.75,0.25,132.35,0.5,2.75,232.5,11,20.8,20.05
"6306","Fred Payton",82102,"QB","COAST CAR",1,4,50,2,2,141,0,63.5,0,0,19,4.8,9,2020,0.76,0.76,2,"Coastal Carolina","Jamey Chadwell",14,44.925,8,5.5,0.5,91.6,1.75,1.75,113.25,5.7,11.03,11.03
"6307","Jarrett Guest",97997,"QB","COAST CAR",1,1,100,1,0,141,0,95.8,0,0,7,7,9,2020,0.28,0.28,3,"Coastal Carolina","Jamey Chadwell",1,100,1,0,0,91.7,0,0,6,6,0.24,0.24
"6308","Patrick O'Brien",40273,"QB","COLO STATE",1,10,70,7,4,144,0,127.9,2,1,82,8.2,9,2020,7.28,7.28,2,"Colorado State","Steve Addazio",35,63.15,22.25,14.75,1,87.35,2.5,1.25,275.25,7.925,16.51,15.01
"6309","Chase Brice",60363,"QB","DUKE",1,14,57.1,8,8,154,0,105.1,1,1,106,7.6,9,2020,8.24,8.24,1,"Duke","David Cutcliffe",38.5,54.3,21,13.75,2.25,64.025,4,1.5,245.25,6.4,13.56,13.56
"6310","Gunnar Holmberg",77625,"QB","DUKE",1,3,66.7,2,1,154,1,47.2,0,0,21,7,9,2020,-0.16,-0.16,2,"Duke","David Cutcliffe",1,100,1,1,0,116.7,0,0,12,12,0.48,0.48
"6311","Holton Ahlers",77651,"QB","E CAROLINA",1,50,76,38,15,156,1,104.6,0,3,330,6.6,9,2020,27.2,24.2,1,"East Carolina","Mike Houston",38.25,57,21.75,13.75,1,91.375,1.25,2.25,245.25,6.75,18.56,17.81
"6312","Nick Tronti",60409,"QB","FAU",1,19,57.9,11,6,165,0,97.7,1,1,136,7.2,9,2020,9.44,9.44,1,"Florida Atlantic","Willie Taggart",14,77.025,8,4.25,0.25,106.65,1.25,0.75,76.5,13.825,5.81,5.81
"6313","Kyle Trask",39987,"QB","FLORIDA",1,36,58.3,21,15,163,1,116.3,0,4,347,9.6,9,2020,31.88,28.88,1,"Florida","Dan Mullen",35.5,69.3,24.5,15.75,0.5,123.65,1.25,3.75,325.25,9.175,29.76,27.51
"6314","Jake Haener",60596,"QB","FRESNO ST",1,32,68.8,22,15,169,0,131.1,4,3,311,9.7,9,2020,27.44,24.44,1,"Fresno State","Kalen DeBoer",31,54.8,17,13,3,57.8,3,1,289,9.3,12.56,12.56
"6315","Ben Wooldridge",82115,"QB","FRESNO ST",1,4,75,3,2,169,0,103.1,0,0,37,9.3,9,2020,1.48,1.48,2,"Fresno State","Kalen DeBoer",3,80,2,1,0,111.45,0,0.5,15,9.8,2.6,2.6
"6316","Shai Werts",40384,"QB","GA SOUTHRN",1,9,55.6,5,3,174,1,52.8,1,0,95,10.6,9,2020,2.8,2.8,1,"Georgia Southern","Chad Lunsford",15.5,52.4,8.25,6.5,0.75,74.625,1.25,1,125.75,7.6,8.28,8.28
"6317","Cornelious Brown IV",98356,"QB","GA STATE",1,10,60,6,1,175,1,25,3,0,28,2.8,9,2020,0.12,0.12,1,"Georgia State","Shawn Elliott",32.75,59.375,19.25,10.5,1,90.975,1,2.25,228.75,7.05,17.9,17.15
"6318","Jeff Sims",122496,"QB","GA TECH",1,26,57.7,15,5,176,0,74.2,5,0,150,5.8,9,2020,6,6,1,"Georgia Tech","Geoff Collins",20,52.925,10.5,6.75,1.5,84.275,2,1.5,168.75,8.45,11.25,11.25
"6319","Stetson Bennett",60387,"QB","GEORGIA",1,14,64.3,9,7,173,2,55.1,0,0,131,9.4,9,2020,3.24,3.24,1,"Georgia","Kirby Smart",31.5,57.4,17.75,11.75,0.75,92.8,1,1.75,238.25,7.675,15.78,15.78
"6320","Chevan Cordeiro",75886,"QB","HAWAII",1,26,42.3,11,3,180,1,38.9,6,0,110,4.2,9,2020,3.4,3.4,1,"Hawai'i","Todd Graham",15,44.775,9,5.5,0,80.425,1.5,0.5,102.25,5.225,6.09,6.09
"6321","Clayton Tune",77652,"QB","HOUSTON",1,41,51.2,21,17,182,2,59.3,3,1,263,6.4,9,2020,12.52,12.52,1,"Houston","Dana Holgorsen",33.75,65.125,22,15.5,1.5,108.075,2,2.75,332,9.825,25.78,22.78
"6322","Logan Holgorsen",101053,"QB","HOUSTON",1,1,100,1,0,182,0,91.7,0,0,6,6,9,2020,0.24,0.24,2,"Houston","Dana Holgorsen",5.25,53.35,2.5,1,0.25,73.05,0.75,0.25,37.75,6.275,2.26,2.26
"6323","Coran Taylor",82128,"QB","ILLINOIS",1,29,58.6,17,10,187,2,84.4,1,2,273,9.4,9,2020,16.92,16.92,1,"Illinois","Rod Smith",29,58.6,17,10,2,84.4,1,2,273,9.4,16.92,16.92
"6324","Matt Robinson",82130,"QB","ILLINOIS",1,4,75,3,2,187,0,87.5,1,0,22,5.5,9,2020,0.88,0.88,2,"Illinois","Lovie Smith",19,56.075,10.25,5.5,0,77.05,2.5,0.25,111,6,5.44,5.44
"6325","Matt Robinson",82130,"QB","ILLINOIS",1,4,75,3,2,187,0,87.5,1,0,22,5.5,9,2020,0.88,0.88,2,"Illinois","Rod Smith",12.75,61.9,7.25,4,0,83.15,2.25,0.25,85.25,6.3,4.41,4.41
"6326","Michael Penix Jr.",82134,"QB","INDIANA",1,26,65.4,17,12,190,0,133.2,1,3,238,9.2,9,2020,21.52,21.52,1,"Indiana","Tom Allen",23.5,63.2,14.5,8.25,0.75,94.475,0.75,1.25,188.75,8.825,11.8,11.8
"6327","Spencer Petras",82136,"QB","IOWA",1,51,51,26,13,192,3,44.2,1,1,216,4.2,9,2020,9.64,9.64,1,"Iowa","Kirk Ferentz",12.5,45.35,7,3.5,0,63.9,0.25,0,72.5,3.1,2.9,2.9
"6328","Brock Purdy",77672,"QB","IOWA STATE",1,34,67.6,23,13,193,1,95.1,1,2,239,7,9,2020,16.56,16.56,1,"Iowa State","Matt Campbell",31,63.9,20,11.75,0.25,98.425,1.25,1.25,232.5,7.9,14.8,14.05
"6329","Jalon Daniels",122555,"QB","KANSAS",1,30,53.3,16,9,198,1,55.6,5,0,165,5.5,9,2020,5.6,5.6,1,"Kansas","Les Miles",19.75,56,11.25,6,0.25,66.5,3,0,95.25,4.25,3.56,3.56
"6330","Miles Kendrick",77673,"QB","KANSAS",1,3,66.7,2,1,198,0,70.1,0,0,2,0.7,9,2020,0.08,0.08,2,"Kansas","Les Miles",17.5,57.825,10.5,4.25,1,61.05,3,0.75,86.75,4.275,5.47,5.47
"6331","Will Howard",122599,"QB","KANSAS ST",1,38,50,19,9,199,3,39.8,2,1,184,4.8,9,2020,8.36,8.36,1,"Kansas State","Chris Klieman",14,67.8,8.25,5,0.25,105.35,0.75,0.75,139.25,13.675,8.32,8.32
"6332","Joey Gatewood",82088,"QB","KENTUCKY",1,25,60,15,3,202,0,67.3,4,0,91,3.6,9,2020,3.64,3.64,1,"Kentucky","Mark Stoops",1.66666666666667,44.4333333333333,0.666666666666667,0.333333333333333,0,59.2666666666667,0.333333333333333,0,6,3.33333333333333,0.24,0.24
"6333","Levi Lewis",60428,"QB","LA LAFAYET",1,32,68.8,22,12,207,1,109.9,0,2,328,10.3,9,2020,23.12,20.12,1,"Louisiana","Billy Napier",28.5,57.4,16.25,10.5,1,88.175,0.75,1.5,224,7.8,13.96,13.96
"6334","Chandler Fields",97286,"QB","LA LAFAYET",1,2,0,0,0,207,0,39.6,0,0,0,0,9,2020,0,0,2,"Louisiana","Billy Napier",1.5,100,1.5,0.5,0,89.6,0,0,8,4,0.32,0.32
"6335","Colby Suits",82143,"QB","LA MONROE",1,31,61.3,19,11,209,1,68.5,3,1,134,4.3,9,2020,8.36,8.36,1,"Louisiana Monroe","Matt Viator",36.5,57.7,21,11,1,69.8,2,1,220.5,5.975,12.57,11.82
"6336","Jeremy Hunt",123483,"QB","LA MONROE",1,9,33.3,3,1,209,2,2.8,0,0,20,2.2,9,2020,-1.2,-1.2,2,"Louisiana Monroe","Matt Viator",5,46.6666666666667,2.33333333333333,1,0.333333333333333,59.0333333333333,0,0.333333333333333,19.6666666666667,3.5,1.78666666666667,1.78666666666667
"6337","Josh Pederson",39861,"TE","LA MONROE",1,1,0,0,0,209,0,39.6,0,0,0,0,9,2020,0,0,3,"Louisiana Monroe","Matt Viator",1,50,0.5,0.5,0,79.2,0,0,16.5,16.5,0.66,0.66
"6338","Aaron Allen",78494,"QB","LA TECH",1,26,69.2,18,10,208,0,116,0,2,191,7.3,9,2020,15.64,15.64,1,"Louisiana Tech","Skip Holtz",7,64.1,4.5,2.25,0.5,69.4,0,0.25,45.75,6.575,2.33,2.33
"6339","Luke Anthony",41127,"QB","LA TECH",1,20,55,11,5,208,1,73.1,0,1,141,7.1,9,2020,8.64,8.64,2,"Louisiana Tech","Skip Holtz",26.25,65.1,17.25,7.5,0.5,84.3,4,1,151,5.775,9.54,9.54
"6340","Malik Cunningham",60436,"QB","LOUISVILLE",1,35,65.7,23,20,210,3,91.4,3,3,350,10,9,2020,26,23,1,"Louisville","Scott Satterfield",24.5,61.8,15,10,0.75,94.75,3.75,1.5,186.5,7.55,12.71,12.71
"6341","T.J. Finley",124093,"QB","LSU",1,24,54.2,13,8,211,2,37.3,2,0,143,6,9,2020,3.72,3.72,1,"LSU","Ed Orgeron",21,81,17,13,1,130.7,0,2,265,12.6,17.6,17.6
"6342","Taulia Tagovailoa",97271,"QB","MARYLAND",1,34,73.5,25,19,215,1,128.3,1,3,390,11.5,9,2020,29.6,26.6,1,"Maryland","Mike Locksley",25,56,14,7,3,24.8,2,0,94,3.8,0.76,0.76
"6343","Brady White",25506,"QB","MEMPHIS",1,35,51.4,18,12,218,0,92.1,6,1,316,9,9,2020,19.64,16.64,1,"Memphis","Ryan Silverfield",41,64.125,26.5,18.5,1,113.75,1,4.25,345.5,8.35,32.07,29.82
"6344","Rocky Lombardi",60452,"QB","MICH STATE",1,32,53.1,17,14,223,0,119.7,0,3,323,10.1,9,2020,27.92,24.92,1,"Michigan State","Mel Tucker",16,55.55,9.25,4.5,1,48.925,0.5,0.75,97.75,3.975,6.66,5.91
"6345","Joe Milton III",82151,"QB","MICHIGAN",1,51,62.7,32,21,222,0,78.9,2,0,300,5.9,9,2020,15,12,1,"Michigan","Jim Harbaugh",7.25,35.8,4.5,3.75,0.25,78.275,0.5,0.5,71.75,6.3,4.62,4.62
"6346","Tanner Morgan",55239,"QB","MINNESOTA",1,15,66.7,10,10,225,0,131.9,1,1,189,12.6,9,2020,11.56,11.56,1,"Minnesota","P.J. Fleck",30,59.7,17.75,12,1,94.725,3,2.25,244.75,8.225,17.79,17.79
"6347","Will Rogers",124184,"QB","MISS STATE",1,37,64.9,24,8,227,2,50.2,1,0,147,4,9,2020,3.88,3.88,1,"Mississippi State","Mike Leach",16.5,71.65,12,4,1,69,0.5,0.5,81.5,4.8,4.26,4.26
"6348","K.J. Costello",40268,"QB","MISS STATE",1,12,41.7,5,0,227,0,49.3,1,0,20,1.7,9,2020,0.8,0.8,2,"Mississippi State","Mike Leach",49.75,65.875,32.5,14.75,2.5,69.1,2.75,1.5,316.75,5.975,17.67,16.17
"6349","Connor Bazelak",99135,"QB","MISSOURI",1,40,65,26,11,229,0,77.9,3,0,208,5.2,9,2020,8.32,8.32,1,"Missouri","Eli Drinkwitz",24.75,66.8,17.5,11,0.25,96.3,1,1,223.5,8.5,13.44,12.69
"6350","Sam Howell",97599,"QB","N CAROLINA",1,28,82.1,23,16,245,0,158.3,5,4,443,15.8,9,2020,36.72,33.72,1,"North Carolina","Mack Brown",28.25,62.2,17.25,13.25,0.5,112.8,3,2.25,269.75,9.55,20.04,19.29
"6351","Dalen Morris",60474,"QB","NAVY",1,19,42.1,8,7,237,0,62.6,4,0,116,6.1,9,2020,4.64,4.64,1,"Navy","Ken Niumatalolo",8.75,71.275,5.25,3.75,0.5,103.75,1,0.75,105.75,13.875,6.73,6.73
"6352","Tyger Goslin",77634,"QB","NAVY",1,10,60,6,5,237,0,142.9,0,2,123,12.3,9,2020,12.92,12.92,2,"Navy","Ken Niumatalolo",8,20,3,2,0,67.65,1.5,0.5,68.5,4.55,4.74,4.74
"6353","Chance Warren",77869,"HB","NAVY",1,1,0,0,0,237,0,39.6,0,0,0,0,9,2020,0,0,3,"Navy","Ken Niumatalolo",1,50,0.5,1,0,79.2,0,0,9,9,0.36,0.36
"6354","Carson Strong",83524,"QB","NEVADA",1,27,77.8,21,13,239,0,143.4,3,2,350,13,9,2020,25,22,1,"Nevada","Jay Norvell",46.5,65.975,30.75,16,0,103.7,2.75,2.25,331.75,6.95,24.52,22.27
"6355","Tevaka Tuioti",40663,"QB","NEW MEXICO",1,35,57.1,20,19,241,1,91.8,3,2,294,8.4,9,2020,18.76,18.76,1,"New Mexico","Danny Gonzales",27.25,50.3,14.75,9.5,0.5,69.45,2.25,0.5,183.5,6.225,8.84,8.84
"6356","Ian Book",40216,"QB","NOTRE DAME",1,26,69.2,18,13,258,0,104.5,3,1,199,7.7,9,2020,11.96,11.96,1,"Notre Dame","Brian Kelly",23.25,59.6,13.75,10,0,99.675,1.5,1.25,190.75,7.9,13.38,12.63
"6357","Peyton Ramsey",40186,"QB","NWESTERN",1,18,61.1,11,10,256,1,60,4,0,130,7.2,9,2020,4.2,4.2,1,"Northwestern","Pat Fitzgerald",30,76.7,23,16,0,106.5,0,1,212,7.1,12.48,12.48
"6358","Justin Fields",82118,"QB","OHIO STATE",1,34,82.4,28,14,260,0,144.9,2,4,318,9.4,9,2020,31.72,28.72,1,"Ohio State","Ryan Day",24.75,71.3,17.25,13.5,0,135.85,3.5,2.75,265.75,10.8,22.38,21.63
"6359","Spencer Sanders",77660,"QB","OKLA STATE",1,40,67.5,27,23,262,1,122.9,5,4,400,10,9,2020,34,31,1,"Oklahoma State","Mike Gundy",16.25,73.05,10.75,7,0.75,100.85,1,1,145.5,9.475,9.07,9.07
"6360","Spencer Rattler",97408,"QB","OKLAHOMA",1,30,70,21,13,261,0,122.6,0,2,288,9.6,9,2020,19.52,19.52,1,"Oklahoma","Lincoln Riley",33.5,66.85,22.75,15.25,1.25,109.525,2.25,2.75,307,9.7,24.28,22.03
"6361","Tanner Mordecai",77656,"QB","OKLAHOMA",1,8,75,6,6,261,0,94.8,0,0,58,7.3,9,2020,2.32,2.32,2,"Oklahoma","Lincoln Riley",8,69.7,6,4.25,0.25,94.825,0.5,0.25,71,8.85,3.59,3.59
"6362","Matt Corral",83517,"QB","OLE MISS",1,34,91.2,31,21,226,0,156.7,1,6,412,12.1,9,2020,43.48,40.48,1,"Ole Miss","Lane Kiffin",30.25,67.125,20,14,2,98.9,2.25,2.25,260.5,8.8,18.92,17.42
"6363","John Rhys Plumlee",97602,"QB","OLE MISS",1,3,33.3,1,2,226,0,120.8,2,1,37,12.3,9,2020,5.48,5.48,2,"Ole Miss","Lane Kiffin",4.25,91.075,3,2.25,0,96.375,1,0,36.25,8.15,1.45,1.45
"6364","Sean Clifford",51708,"QB","PENN STATE",1,30,60,18,13,266,1,110.6,5,3,281,9.4,9,2020,22.24,22.24,1,"Penn State","James Franklin",24,57.05,14,10,0.75,79.375,2.25,1.25,155.25,6.3,10.46,10.46
"6365","Aidan O'Connell",60516,"QB","PURDUE",1,35,82.9,29,19,273,0,129.9,4,2,371,10.6,9,2020,25.84,22.84,1,"Purdue","Jeff Brohm",49,60.625,29.75,16,1.5,83.625,1.25,2.5,312.5,6.4,21.75,21
"6366","Mike Collins",60549,"QB","RICE",1,17,70.6,12,12,275,0,152.6,2,4,233,13.7,9,2020,25.32,25.32,1,"Rice","Mike Bloomgren",35,51.4,18,14,1,99.9,2,4,242,6.9,24.68,24.68
"6367","Noah Vedral",55406,"QB","RUTGERS",1,34,61.8,21,9,278,3,54.3,4,2,146,4.3,9,2020,10.84,10.84,1,"Rutgers","Greg Schiano",28,60.7,17,8,1,75,2,1,170,6.1,9.8,9.8
"6368","Johnny Langan",77617,"QB","RUTGERS",1,1,100,1,0,278,0,79.2,0,0,-4,-4,9,2020,-0.16,-0.16,2,"Rutgers","Greg Schiano",17.25,60,8.25,4.25,0.25,62.675,2.25,0,96.5,4.375,3.61,3.61
"6369","Desmond Trotter",83552,"QB","S ALABAMA",1,27,74.1,20,9,288,0,119.4,5,2,200,7.4,9,2020,16,16,1,"South Alabama","Steve Campbell",17.25,64.45,11.5,8.25,0.5,110.05,1.25,1.5,186,11.05,12.94,12.94
"6370","Carson Baker",83548,"QB","S DIEGO ST",1,26,69.2,18,12,284,0,111.5,1,2,163,6.3,9,2020,14.52,14.52,1,"San Diego State","Brady Hoke",25,62,15.5,7.5,0,92.85,2,1,154.5,6.2,10.18,10.18
"6371","Nick Starkel",40326,"QB","S JOSE ST",1,47,72.3,34,17,285,0,139.2,1,5,467,9.9,9,2020,41.68,38.68,1,"San Jose State","Brent Brennan",29,75.9,22,13,1,106.4,0,2,226,7.8,16.04,16.04
"6372","Nick Nash",98679,"QB","S JOSE ST",1,2,50,1,1,285,0,72.9,0,0,14,7,9,2020,0.56,0.56,2,"San Jose State","Brent Brennan",5.33333333333333,64.2666666666667,3.66666666666667,3,0,98.0333333333333,0,0.666666666666667,44,7,4.42666666666667,4.42666666666667
"6373","Shane Buechele",12659,"QB","SMU",1,28,82.1,23,16,287,0,147,1,3,300,10.7,9,2020,27,24,1,"SMU","Sonny Dykes",38,60.025,23,13.5,0.25,100.725,2.75,2,303.75,7.8,21.4,19.9
"6374","Jack Abraham",40557,"QB","SO MISS",1,17,70.6,12,4,296,1,63.8,0,0,112,6.6,9,2020,3.48,3.48,1,"Southern Mississippi","Tim Billings",32.25,55.35,18,11.25,1,88.85,2.75,2,253.75,7.825,17.9,17.15
"6375","Jack Abraham",40557,"QB","SO MISS",1,17,70.6,12,4,296,1,63.8,0,0,112,6.6,9,2020,3.48,3.48,1,"Southern Mississippi","Jay Hopson",26.75,57.625,15,9.25,1,81.575,1.5,1.5,204.25,7.5,13.17,13.17
"6376","Jack Abraham",40557,"QB","SO MISS",1,17,70.6,12,4,296,1,63.8,0,0,112,6.6,9,2020,3.48,3.48,1,"Southern Mississippi","Scotty Walden",23.5,61.95,14,7.5,1,75.65,1,1,173.5,7.2,9.94,9.94
"6377","Trey Lowe",77669,"QB","SO MISS",1,6,83.3,5,2,296,0,106.3,1,0,57,9.5,9,2020,2.28,2.28,2,"Southern Mississippi","Jay Hopson",6,83.3,5,2,0,106.3,1,0,57,9.5,2.28,2.28
"6378","Trey Lowe",77669,"QB","SO MISS",1,6,83.3,5,2,296,0,106.3,1,0,57,9.5,9,2020,2.28,2.28,2,"Southern Mississippi","Scotty Walden",6,83.3,5,2,0,106.3,1,0,57,9.5,2.28,2.28
"6379","Rex Culpepper",40540,"QB","SYRACUSE",1,27,55.6,15,4,304,2,43.6,3,1,89,3.3,9,2020,5.56,5.56,1,"Syracuse","Dino Babers",19.75,40.625,8.5,4.5,1,67.775,1.25,1.25,119.25,5.65,8.77,8.77
"6380","Max Duggan",99470,"QB","TCU",1,23,60.9,14,8,305,0,92.3,3,1,138,6,9,2020,9.52,9.52,1,"TCU","Gary Patterson",29.25,68.725,19.75,10.75,0.25,100.05,2.25,1,227.25,8.2,12.84,12.84
"6381","Sam Ehlinger",60555,"QB","TEXAS",1,35,51.4,18,9,311,0,93.6,6,3,169,4.8,9,2020,18.76,18.76,1,"Texas","Tom Herman",38,59.125,22.25,14.75,1.25,94.85,2.75,3,263.75,7.575,21.3,21.3
"6382","Kellen Mond",60556,"QB","TEXAS A&M",1,26,80.8,21,14,312,0,146.8,0,3,260,10,9,2020,22.4,22.4,1,"Texas A&M","Jimbo Fisher",32.75,60.85,20,11.5,0.5,99.4,0.75,2.25,246,7.35,19.84,18.34
"6383","Brady McBride",77641,"QB","TEXAS ST",1,32,43.8,14,8,314,3,31.5,5,1,166,5.2,9,2020,7.64,7.64,1,"Texas State","Jake Spavital",31.75,61.45,19.75,10.25,0.75,82.85,2,1.5,183.5,5.7,12.59,12.59
"6384","Tyler Vitt",83566,"QB","TEXAS ST",1,1,100,1,1,314,0,116.7,0,0,12,12,9,2020,0.48,0.48,2,"Texas State","Jake Spavital",16,33.35,10,5.5,0.5,81.7,1.5,1.5,150.5,5.275,12.27,11.52
"6385","Henry Colombi",60583,"QB","TEXAS TECH",1,28,53.6,15,9,315,2,74.6,2,2,227,8.1,9,2020,15.08,15.08,1,"Texas Tech","Matt Wells",27,77.5,20.3333333333333,10.3333333333333,0.333333333333333,110.166666666667,1.66666666666667,1.33333333333333,174.333333333333,7.16666666666667,11.9733333333333,11.9733333333333
"6386","Alan Bowman",77679,"QB","TEXAS TECH",1,4,100,4,2,315,0,107.3,0,0,39,9.8,9,2020,1.56,1.56,2,"Texas Tech","Matt Wells",33.25,62.225,21.5,11.75,1,80.4,0,1.75,220,5.6,16.3,14.8
"6387","Jacob Free",60591,"QB","TROY",1,46,73.9,34,22,318,0,116.1,4,2,419,9.1,9,2020,27.76,24.76,1,"Troy","Chip Lindsey",14,54.4,8.33333333333333,5,0.666666666666667,88.5333333333333,1,1,112.333333333333,5.56666666666667,8.82666666666667,7.82666666666667
"6388","Michael Pratt",123229,"QB","TULANE",1,21,57.1,12,10,319,1,102.3,2,2,205,9.8,9,2020,15.2,15.2,1,"Tulane","Willie Fritz",24.25,47.775,11.5,10.5,0.5,88.725,3.5,1.75,172.5,7.175,13.4,13.4
