"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"115","Noah Vedral",55406,"QB","UCF",1,1,100,1,0,323,0,79.2,0,0,3,3,8,2017,0.12,0.12,2,"UCF","Scott Frost",4,100,4,3,0,109.4,1,0,41,10.3,1.64,1.64
"116","Josh Rosen",35460,"QB","UCLA",1,36,58.3,21,12,324,0,100,2,2,266,7.4,8,2017,18.64,18.64,1,"UCLA","Jedd Fisch",34,58.8,20,11,3,41.2,5,0,219,6.4,5.76,5.76
"117","Josh Rosen",35460,"QB","UCLA",1,36,58.3,21,12,324,0,100,2,2,266,7.4,8,2017,18.64,18.64,1,"UCLA","Jim Mora",34.6666666666667,58.6333333333333,20.3333333333333,11.3333333333333,2,60.8,4,0.666666666666667,234.666666666667,6.73333333333333,10.0533333333333,10.0533333333333
"118","Bryant Shirreffs",46413,"QB","UCONN",1,29,79.3,23,12,146,0,130.2,2,1,372,12.8,8,2017,21.88,18.88,1,"Connecticut","Randy Edsall",29,65.5,19,8,1,92.2,3,3,107,3.7,15.28,15.28
"119","Armani Rogers",40034,"QB","UNLV",1,12,41.7,5,3,325,0,49.7,1,0,37,3.1,8,2017,1.48,1.48,2,"UNLV","Tony Sanchez",27,44.4,12,7,1,46.4,1,0,147,5.4,4.88,4.88
"120","Sam Darnold",29048,"QB","USC",1,28,71.4,20,14,326,1,104.6,3,2,229,8.2,8,2017,16.16,16.16,1,"USC","Clay Helton",50,54,27,21,0,96.9,0,3,358,7.2,29.32,26.32
"121","Quinton Flowers",46580,"QB","USF",1,25,40,10,11,327,1,66.6,0,2,127,5.1,8,2017,12.08,12.08,1,"South Florida","Charlie Strong",29,55.2,16,11,0,74.5,0,0,184,6.3,7.36,7.36
"122","Jordan Love",40306,"QB","UTAH ST",1,27,70.4,19,12,329,0,134.2,1,2,316,11.7,8,2017,23.64,20.64,1,"Utah State","Matt Wells",18,44.4,8,6,3,24.8,1,0,109,6.1,1.36,1.36
"123","Kent Myers",30603,"QB","UTAH ST",1,2,50,1,0,329,0,58.3,0,0,7,3.5,8,2017,0.28,0.28,2,"Utah State","Matt Wells",20,55,11,6,0,67.5,2,0,94,4.7,3.76,3.76
"124","Dalton Sturm",46488,"QB","UTSA",1,22,54.5,12,8,331,0,88.1,3,1,134,6.1,8,2017,9.36,9.36,1,"UT San Antonio","Frank Wilson",25,52,13,8,0,107.1,1,2,210,8.4,16.4,16.4
"125","Kurt Benkert",46540,"QB","VIRGINIA",1,33,51.5,17,7,335,1,48.3,3,0,126,3.8,8,2017,4.04,4.04,1,"Virginia","Bronco Mendenhall",31,61.3,19,9,0,108.1,4,2,249,8,17.96,17.96
"126","Mike White",46453,"QB","W KENTUCKY",1,34,70.6,24,15,346,1,125.5,3,5,304,8.9,8,2017,34.16,31.16,1,"Western Kentucky","Mike Sanford",47,70.2,33,19,0,131.3,0,5,398,8.5,38.92,35.92
"127","Jon Wassink",34650,"QB","W MICHIGAN",1,25,64,16,11,347,0,100.4,1,1,190,7.6,8,2017,11.6,11.6,1,"Western Michigan","Tim Lester",30,60,18,8,1,76.2,2,1,194,6.5,10.76,10.76
