Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Steven Fiso (23786717),Steven Fiso,23786717,WR/FLEX/S-FLEX,3600,VAND@HAW 08/27/2022 10:30PM ET,HAW,9.55
WR,Jairus Mack (23786720),Jairus Mack,23786720,WR/FLEX/S-FLEX,3600,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,6.62
RB,Reynaldo Flores (23786378),Reynaldo Flores,23786378,RB/FLEX/S-FLEX,3600,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,4.4
WR,Zach Fryar (23786714),Zach Fryar,23786714,WR/FLEX/S-FLEX,3600,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,0
RB,Patrick Smith (23786381),Patrick Smith,23786381,RB/FLEX/S-FLEX,3500,VAND@HAW 08/27/2022 10:30PM ET,VAND,6.64
WR,Justin Olson (23786729),Justin Olson,23786729,WR/FLEX/S-FLEX,3500,FAMU@UNC 08/27/2022 08:15PM ET,UNC,4.88
WR,PJ Johnson III (23786735),PJ Johnson III,23786735,WR/FLEX/S-FLEX,3500,NEV@NMST 08/27/2022 10:00PM ET,NMST,7.02
WR,Marvin Landy (23786723),Marvin Landy,23786723,WR/FLEX/S-FLEX,3500,CHAR@FAU 08/27/2022 07:00PM ET,FAU,4.17
WR,Walter Dawn Jr. (23786726),Walter Dawn Jr.,23786726,WR/FLEX/S-FLEX,3500,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,2.35
WR,Detraveon Brown (23786732),Detraveon Brown,23786732,WR/FLEX/S-FLEX,3500,UNT@UTEP 08/27/2022 09:00PM ET,UNT,7.75
WR,Ben Bresnahan (23786738),Ben Bresnahan,23786738,WR/FLEX/S-FLEX,3400,VAND@HAW 08/27/2022 10:30PM ET,VAND,3.2
WR,David Manigo (23786753),David Manigo,23786753,WR/FLEX/S-FLEX,3400,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,6.84
WR,Cooper Shults (23786744),Cooper Shults,23786744,WR/FLEX/S-FLEX,3400,NEV@NMST 08/27/2022 10:00PM ET,NEV,0
WR,Tyrese Mack (23786750),Tyrese Mack,23786750,WR/FLEX/S-FLEX,3400,NEV@NMST 08/27/2022 10:00PM ET,NEV,2.35
RB,Larry McCammon III (23786384),Larry McCammon III,23786384,RB/FLEX/S-FLEX,3400,CHAR@FAU 08/27/2022 07:00PM ET,FAU,4.32
WR,Jake Roberts (23786741),Jake Roberts,23786741,WR/FLEX/S-FLEX,3400,UNT@UTEP 08/27/2022 09:00PM ET,UNT,2.6
WR,Jyaire Shorter (23786747),Jyaire Shorter,23786747,WR/FLEX/S-FLEX,3400,UNT@UTEP 08/27/2022 09:00PM ET,UNT,19.7
RB,Jordan Johnson (23786387),Jordan Johnson,23786387,RB/FLEX/S-FLEX,3300,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Koali Nishigaya (23786759),Koali Nishigaya,23786759,WR/FLEX/S-FLEX,3300,VAND@HAW 08/27/2022 10:30PM ET,HAW,2.6
WR,Jeremiah Ballard (23786756),Jeremiah Ballard,23786756,WR/FLEX/S-FLEX,3300,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,2.6
WR,Caleb Phillips (23786762),Caleb Phillips,23786762,WR/FLEX/S-FLEX,3200,VAND@HAW 08/27/2022 10:30PM ET,HAW,3.79
WR,Nicholas Dixon (23786771),Nicholas Dixon,23786771,WR/FLEX/S-FLEX,3200,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,3.36
WR,Gavin Blackwell (23786777),Gavin Blackwell,23786777,WR/FLEX/S-FLEX,3200,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
RB,Larenzo McMillan (23786390),Larenzo McMillan,23786390,RB/FLEX/S-FLEX,3200,NEV@NMST 08/27/2022 10:00PM ET,NMST,0
WR,Carlton Brown III (23786765),Carlton Brown III,23786765,WR/FLEX/S-FLEX,3200,NEV@NMST 08/27/2022 10:00PM ET,NEV,0
WR,Austin Evans (23786768),Austin Evans,23786768,WR/FLEX/S-FLEX,3200,CHAR@FAU 08/27/2022 07:00PM ET,FAU,1.8
WR,Jahmal Edrine (23786774),Jahmal Edrine,23786774,WR/FLEX/S-FLEX,3200,CHAR@FAU 08/27/2022 07:00PM ET,FAU,1.9
WR,Kamari Young (23786780),Kamari Young,23786780,WR/FLEX/S-FLEX,3100,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,6.43
WR,Jermaine Hawkins (23786783),Jermaine Hawkins,23786783,WR/FLEX/S-FLEX,3100,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,10.5
RB,Alex Escobar (23786393),Alex Escobar,23786393,RB/FLEX/S-FLEX,3100,NEV@NMST 08/27/2022 10:00PM ET,NMST,2.36
WR,Jordan Young (23786786),Jordan Young,23786786,WR/FLEX/S-FLEX,3100,CHAR@FAU 08/27/2022 07:00PM ET,FAU,4.6
RB,Cooper Lutz (23786405),Cooper Lutz,23786405,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,2.01
RB,Ronson Young (23786429),Ronson Young,23786429,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,David Cordero (23786438),David Cordero,23786438,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,Dylan Betts-Pauley (23786444),Dylan Betts-Pauley,23786444,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
RB,Keith Moton III (23786480),Keith Moton III,23786480,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,Derek Boyd II (23786492),Derek Boyd II,23786492,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,Robbie Paikai (23786504),Robbie Paikai,23786504,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,Tylan Hines (23786516),Tylan Hines,23786516,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,Brock Hedani (23786522),Brock Hedani,23786522,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
RB,Maurice Edwards (23786534),Maurice Edwards,23786534,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
RB,Isaiah Fontan (23786582),Isaiah Fontan,23786582,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
RB,Chase Gillespie (23786585),Chase Gillespie,23786585,RB/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Justin Ball (23786795),Justin Ball,23786795,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,1.9
WR,Kamuela Borden (23786804),Kamuela Borden,23786804,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,2
WR,Joel DeCoursey (23786816),Joel DeCoursey,23786816,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Landon Sims (23786849),Landon Sims,23786849,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Greyson Morgan (23786876),Greyson Morgan,23786876,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Devon Tauaefa (23786888),Devon Tauaefa,23786888,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Cole Spence (23786948),Cole Spence,23786948,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Jayden McGowan (23786966),Jayden McGowan,23786966,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Ezra McAllister (23786969),Ezra McAllister,23786969,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Karsyn Pupunu (23787005),Karsyn Pupunu,23787005,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Dayton Toney (23787011),Dayton Toney,23787011,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Grey Ihu (23787014),Grey Ihu,23787014,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Wilson Long (23787017),Wilson Long,23787017,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Quincy Skinner Jr. (23787020),Quincy Skinner Jr.,23787020,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,James Green III (23787071),James Green III,23787071,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Isaiah Shizuru (23787095),Isaiah Shizuru,23787095,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Jordan Hinds (23787107),Jordan Hinds,23787107,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Chuuky Hines (23787113),Chuuky Hines,23787113,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Alex Perry (23787116),Alex Perry,23787116,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Jalen Walthall (23787119),Jalen Walthall,23787119,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Chad Owens Jr. (23787122),Chad Owens Jr.,23787122,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Pofele Ashlock (23787128),Pofele Ashlock,23787128,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,Landon Wells (23787299),Landon Wells,23787299,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Richie Hoskins (23787302),Richie Hoskins,23787302,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Gamarion Carter (23787305),Gamarion Carter,23787305,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Daveon Walker (23787308),Daveon Walker,23787308,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
WR,Hutch Baird (23787311),Hutch Baird,23787311,WR/FLEX/S-FLEX,3000,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
RB,George Pettaway (23786417),George Pettaway,23786417,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
RB,British Brooks (23786420),British Brooks,23786420,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,14.12
RB,Isaiah Connelly (23786456),Isaiah Connelly,23786456,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,2.37
RB,Daylen Hall (23786474),Daylen Hall,23786474,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
RB,Terrell Jennings (23786477),Terrell Jennings,23786477,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,7.3
RB,Cameron Sigur (23786501),Cameron Sigur,23786501,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
RB,Brian Beck Jr. (23786513),Brian Beck Jr.,23786513,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
RB,Lelan Wilhoite (23786525),Lelan Wilhoite,23786525,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
RB,Jaylen McCloud (23786528),Jaylen McCloud,23786528,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,6.24
RB,De'Andre Francis (23786531),De'Andre Francis,23786531,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0.5
RB,Omarion Hampton (23786579),Omarion Hampton,23786579,RB/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Bryson Nesbit (23786792),Bryson Nesbit,23786792,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,5.7
WR,John Copenhaver (23786807),John Copenhaver,23786807,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,4.45
WR,Kendall Karr (23786813),Kendall Karr,23786813,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Koby Gross (23786840),Koby Gross,23786840,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Jeremiah Pruitte (23786867),Jeremiah Pruitte,23786867,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0.75
WR,Jalan Black (23786870),Jalan Black,23786870,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Cam Shelton (23786873),Cam Shelton,23786873,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Jake Young (23786942),Jake Young,23786942,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Will Crowley (23786945),Will Crowley,23786945,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Tylee Craft (23786981),Tylee Craft,23786981,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Christopher Sanders II (23787047),Christopher Sanders II,23787047,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,4.32
WR,Ce'Zaun Enge (23787050),Ce'Zaun Enge,23787050,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Christian Jones (23787053),Christian Jones,23787053,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Marquez Phillips (23787056),Marquez Phillips,23787056,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
