"","player","ou","position","Salary","Team","value"
"40","Cole Kmet",23.5,"TE",4700,"CHI",5
"41","Daniel Bellinger",18.5,"TE",4600,"NYG",4.02173913043478
"42","Darnell Mooney",35.5,"WR",5800,"CHI",6.12068965517241
"43","David Sills V",25.5,"WR",5200,"NYG",4.90384615384615
"44","Equanimeous St. Brown",24.5,"WR",5400,"CHI",4.53703703703704
"45","Kenny Golladay",17.5,"WR",5500,"NYG",3.18181818181818
"46","Khalil Herbert",11.5,"RB",7200,"CHI",1.59722222222222
"47","Richie James",44.5,"WR",5500,"NYG",8.09090909090909
"48","Saquon Barkley",27.5,"RB",8100,"NYG",3.39506172839506
"49","Alec Pierce",26.5,"WR",5100,"IND",5.19607843137255
"50","Ashton Dulin",11.5,"WR",5200,"IND",2.21153846153846
"51","Austin Hooper",15.5,"TE",4600,"TEN",3.3695652173913
"52","Dontrell Hilliard",10.5,"RB",5300,"TEN",1.9811320754717
"53","Geoff Swaim",13.5,"TE",4700,"TEN",2.87234042553191
"54","Jonathan Taylor",13.5,"RB",8700,"IND",1.55172413793103
"55","Kyle Philips",20.5,"WR",5000,"TEN",4.1
"56","Kylen Granson",13.5,"TE",4500,"IND",3
"57","Michael Pittman Jr.",70.5,"WR",7500,"IND",9.4
"58","Mo Alie-Cox",15.5,"TE",4400,"IND",3.52272727272727
"59","Nick Westbrook-Ikhine",25.5,"WR",5200,"TEN",4.90384615384615
"60","Nyheim Hines",23.5,"RB",5100,"IND",4.6078431372549
"61","Parris Campbell",20.5,"WR",4800,"IND",4.27083333333333
"62","Robert Woods",47.5,"WR",5800,"TEN",8.18965517241379
"63","Treylon Burks",41.5,"WR",5700,"TEN",7.28070175438596
"64","Antonio Gibson",12.5,"RB",6600,"WAS",1.89393939393939
"65","CeeDee Lamb",65.5,"WR",6800,"DAL",9.63235294117647
"66","Curtis Samuel",46.5,"WR",6200,"WAS",7.5
"67","Dalton Schultz",31.5,"TE",5300,"DAL",5.94339622641509
"68","Ezekiel Elliott",9.5,"RB",6400,"DAL",1.484375
"69","J.D. McKissic",23.5,"RB",5300,"WAS",4.43396226415094
"70","Jahan Dotson",31.5,"WR",5700,"WAS",5.52631578947368
"71","Logan Thomas",25.5,"TE",5100,"WAS",5
"72","Michael Gallup",26.5,"WR",6000,"DAL",4.41666666666667
"73","Terry McLaurin",55.5,"WR",6700,"WAS",8.28358208955224
"74","Tony Pollard",14.5,"RB",6000,"DAL",2.41666666666667
"75","Austin Ekeler",40.5,"RB",8400,"LAC",4.82142857142857
"76","Brandin Cooks",66.5,"WR",6400,"HOU",10.390625
"77","Chris Moore",28.5,"WR",5400,"HOU",5.27777777777778
"78","Dameon Pierce",10.5,"RB",6800,"HOU",1.54411764705882
"79","DeAndre Carter",34.5,"WR",5200,"LAC",6.63461538461538
"80","Gerald Everett",42.5,"TE",5500,"LAC",7.72727272727273
"81","Jordan Akins",28.5,"TE",4500,"HOU",6.33333333333333
"82","Josh Palmer",50.5,"WR",5800,"LAC",8.70689655172414
"83","Mike Williams",57.5,"WR",7200,"LAC",7.98611111111111
"84","Nico Collins",42.5,"WR",5300,"HOU",8.0188679245283
"85","O.J. Howard Receiving Yards",20.5,"TE",4500,"HOU",4.55555555555556
"86","Phillip Dorsett",8.5,NA,NA,NA,NA
"87","Rex Burkhead",19.5,"RB",5100,"HOU",3.82352941176471
"88","Colby Parkinson",6.5,"TE",4400,"SEA",1.47727272727273
"89","Craig Reynolds",15.5,"RB",5100,"DET",3.03921568627451
"90","DK Metcalf",59.5,"WR",7100,"SEA",8.38028169014085
"91","Jamaal Williams",15.5,"RB",7400,"DET",2.09459459459459
"92","Josh Reynolds",54.5,"WR",5900,"DET",9.23728813559322
"93","Kalif Raymond",35.5,"WR",4900,"DET",7.24489795918367
"94","Kenneth Walker III",8.5,"RB",5200,"SEA",1.63461538461538
"95","Marquise Goodwin",13.5,"WR",4800,"SEA",2.8125
"96","Noah Fant",26.5,"TE",4800,"SEA",5.52083333333333
"97","Quintez Cephus",24.5,"WR",4600,"DET",5.32608695652174
"98","Rashaad Penny",7.5,"RB",6700,"SEA",1.11940298507463
"99","T.J. Hockenson",49.5,"TE",5400,"DET",9.16666666666667
"100","Tyler Lockett",65.5,"WR",6900,"SEA",9.4927536231884
"101","Will Dissly",15.5,"TE",4800,"SEA",3.22916666666667
"102","Breece Hall",17.5,"RB",6300,"NYJ",2.77777777777778
"103","Chase Claypool",38.5,"WR",5700,"PIT",6.75438596491228
"104","Corey Davis",31.5,"WR",5600,"NYJ",5.625
"105","Diontae Johnson",65.5,"WR",7000,"PIT",9.35714285714286
"106","Elijah Moore",42.5,"WR",5500,"NYJ",7.72727272727273
"107","Garrett Wilson",45.5,"WR",6100,"NYJ",7.45901639344262
"108","George Pickens",31.5,"WR",5100,"PIT",6.17647058823529
"109","Michael Carter",12.5,"RB",5700,"NYJ",2.19298245614035
"110","Najee Harris",19.5,"RB",7000,"PIT",2.78571428571429
"111","Pat Freiermuth",35.5,"TE",5600,"PIT",6.33928571428571
"112","Tyler Conklin",27.5,"TE",5400,"NYJ",5.09259259259259
"113","Amari Cooper",58.5,"WR",7500,"CLE",7.8
"114","Anthony Firkser",0.5,"TE",4400,"ATL",0.113636363636364
"115","Anthony Schwartz",0.5,"WR",4800,"CLE",0.104166666666667
"116","Cordarrelle Patterson",10.5,"RB",7600,"ATL",1.38157894736842
"117","David Bell",7.5,"WR",4700,"CLE",1.59574468085106
"118","David Njoku",32.5,"TE",5700,"CLE",5.70175438596491
"119","Demetric Felton",0.5,"WR",4600,"CLE",0.108695652173913
"120","Donovan Peoples-Jones",27.5,"WR",5400,"CLE",5.09259259259259
"121","Drake London",57.5,"WR",6300,"ATL",9.12698412698413
"122","Harrison Bryant",13.5,"TE",4600,"CLE",2.93478260869565
"123","Kareem Hunt",16.5,"RB",6100,"CLE",2.70491803278689
"124","KhaDarel Hodge",12.5,"WR",5100,"ATL",2.45098039215686
"125","Kyle Pitts",55.5,"TE",6100,"ATL",9.09836065573771
"126","Nick Chubb",7.5,"RB",9200,"CLE",0.815217391304348
"127","Olamide Zaccheaus",25.5,"WR",5300,"ATL",4.81132075471698
"128","Parker Hesse",4.5,"TE",4100,"ATL",1.09756097560976
"129","Andy Isabella",10.5,"WR",4700,"ARI",2.23404255319149
"130","Christian McCaffrey",27.5,"RB",8800,"CAR",3.125
"131","DJ Moore",50.5,"WR",6100,"CAR",8.27868852459016
"132","Eno Benjamin",7.5,"RB",5600,"ARI",1.33928571428571
"133","Greg Dortch",29.5,"WR",5300,"ARI",5.56603773584906
"134","Ian Thomas",15.5,"TE",4500,"CAR",3.44444444444444
"135","James Conner",21.5,"RB",6800,"ARI",3.16176470588235
"136","Marquise Brown",57.5,"WR",7700,"ARI",7.46753246753247
"137","Robby Anderson",38.5,"WR",5700,"CAR",6.75438596491228
"138","Rondale Moore",32.5,"WR",5000,"ARI",6.5
"139","Tommy Tremble",3.5,"TE",4400,"CAR",0.795454545454545
"140","Zach Ertz",39.5,"TE",5500,"ARI",7.18181818181818
"141","Aaron Jones",23.5,"RB",7300,"GB",3.21917808219178
"142","AJ Dillon",13.5,"RB",6500,"GB",2.07692307692308
"143","Allen Lazard",37.5,"WR",6000,"GB",6.25
"144","Christian Watson",18.5,"WR",5300,"GB",3.49056603773585
"145","Damien Harris",9.5,"RB",6200,"NE",1.53225806451613
"146","DeVante Parker",38.5,"WR",5700,"NE",6.75438596491228
"147","Hunter Henry",21.5,"TE",4600,"NE",4.67391304347826
"148","Jonnu Smith",14.5,"TE",4600,"NE",3.15217391304348
"149","Kendrick Bourne",18.5,"WR",5200,"NE",3.55769230769231
"150","Lil'Jordan Humphrey",14.5,"WR",4600,"NE",3.15217391304348
"151","Nelson Agholor",31.5,"WR",5600,"NE",5.625
"152","Randall Cobb",20.5,"WR",5200,"GB",3.94230769230769
"153","Rhamondre Stevenson",16.5,"RB",5900,"NE",2.79661016949153
"154","Robert Tonyan",24.5,"TE",4900,"GB",5
"155","Romeo Doubs",43.5,"WR",5900,"GB",7.3728813559322
"156","Albert Okwuegbunam",19.5,"TE",4900,"DEN",3.97959183673469
"157","Brandon Bolden",13.5,"RB",4800,"LV",2.8125
"158","Courtland Sutton",69.5,"WR",6800,"DEN",10.2205882352941
"159","Darren Waller",52.5,"TE",6500,"LV",8.07692307692308
"160","Davante Adams",85.5,"WR",7900,"LV",10.8227848101266
"161","Javonte Williams",22.5,"RB",6900,"DEN",3.26086956521739
"162","Jerry Jeudy",45.5,"WR",6500,"DEN",7
"163","Josh Jacobs",16.5,"RB",6500,"LV",2.53846153846154
"164","Keelan Cole Sr.",20.5,NA,NA,NA,NA
"165","Kendall Hinton",7.5,"WR",5100,"DEN",1.47058823529412
"166","KJ Hamler",15.5,"WR",5500,"DEN",2.81818181818182
"167","Mack Hollins",51.5,"WR",5800,"LV",8.87931034482759
"168","Melvin Gordon III",9.5,"RB",6500,"DEN",1.46153846153846
"169","Cameron Brate",21.5,NA,NA,NA,NA
"170","Chris Godwin",41.5,NA,NA,NA,NA
"171","Clyde Edwards-Helaire",17.5,NA,NA,NA,NA
"172","Jerick McKinnon",14.5,NA,NA,NA,NA
"173","JuJu Smith-Schuster",51.5,NA,NA,NA,NA
"174","Julio Jones",30.5,NA,NA,NA,NA
"175","Justin Watson",5.5,NA,NA,NA,NA
"176","Leonard Fournette",25.5,NA,NA,NA,NA
"177","Marquez Valdes-Scantling",38.5,NA,NA,NA,NA
"178","Mecole Hardman",25.5,NA,NA,NA,NA
"179","Mike Evans",69.5,NA,NA,NA,NA
"180","Noah Gray",7.5,NA,NA,NA,NA
"181","Russell Gage",38.5,NA,NA,NA,NA
"182","Travis Kelce",68.5,NA,NA,NA,NA
"183","Allen Robinson II",38.5,NA,NA,NA,NA
"184","Brandon Aiyuk",52.5,NA,NA,NA,NA
"185","Cam Akers",7.5,NA,NA,NA,NA
"186","Cooper Kupp",93.5,NA,NA,NA,NA
"187","Deebo Samuel",56.5,NA,NA,NA,NA
"188","George Kittle",43.5,NA,NA,NA,NA
"189","Jauan Jennings",16.5,NA,NA,NA,NA
"190","Jeff Wilson Jr.",10.5,NA,NA,NA,NA
"191","Kyle Juszczyk",7.5,NA,NA,NA,NA
"192","Tyler Higbee",41.5,NA,NA,NA,NA
